Date,Initial Amt,S&P 500,1m+1f,1m+2f,2m+1f,2m+2f,3m+2f,3m+1f,
2000-01,10000,10000,10000,10000,10000,10000,10000,10000,
2000-02,10000,9786,10000,10024,10694,10243,10243,10694,
2000-03,10000,10686,10148,10173,10852,10319,10396,10852,
2000-04,10000,10418,9894,10028,10537,10040,10351,10537,
2000-05,10000,10280,10053,10132,10680,10044,10179,10322,
2000-06,10000,10428,9577,9852,10174,9674,10005,10050,
2000-07,10000,10205,9236,9439,10223,9719,10052,10099,
2000-08,10000,10791,10030,9910,11101,10296,10202,10239,
2000-09,10000,10191,9504,9815,11470,10197,10104,10578,
2000-10,10000,10085,10112,10125,11460,10019,10181,10570,
2000-11,10000,9333,11861,10793,13442,10687,10860,10151,
2000-12,10000,9106,12241,11100,13873,10990,11169,10477,
2001-01,10000,9746,12592,11409,12193,10483,10653,9208,
2001-02,10000,8808,11765,10859,11328,9950,10990,8555,
2001-03,10000,8131,13415,11573,11231,9669,10675,8481,
2001-04,10000,8986,10812,10450,9052,8731,9616,6836,
2001-05,10000,8945,10772,10492,9141,8758,9646,6859,
2001-06,10000,8776,10867,10437,8965,8588,9491,6771,
2001-07,10000,8628,10757,10372,8943,8654,9419,6739,
2001-08,10000,8039,10848,10440,8986,8711,9202,6372,
2001-09,10000,7369,13743,11778,11384,9828,10382,8072,
2001-10,10000,7693,12184,11196,10093,9342,9868,7156,
2001-11,10000,8018,12708,11755,9065,8812,9308,6428,
2001-12,10000,8193,13037,12221,9520,9268,9209,6360,
2002-01,10000,7963,12890,11902,9413,9026,8968,6100,
2002-02,10000,8031,13893,12398,9367,9355,8882,6070,
2002-03,10000,8136,13559,12623,9141,9204,8924,5924,
2002-04,10000,7709,13763,12805,9279,9878,9578,6703,
2002-05,10000,7384,15762,13777,10627,10596,10274,7676,
2002-06,10000,6873,16862,14347,11368,11034,10400,8212,
