Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,4.10,4.10,4.10,4.10,000,4.10
2012-05-24,4.09,4.09,4.09,4.09,000,4.09
2012-05-23,4.10,4.10,4.10,4.10,000,4.10
2012-05-22,4.10,4.10,4.10,4.10,000,4.10
2012-05-21,4.10,4.10,4.10,4.10,000,4.10
2012-05-18,4.18,4.18,4.18,4.18,000,4.18
2012-05-17,4.14,4.14,4.14,4.14,000,4.14
2012-05-16,4.07,4.07,4.07,4.07,000,4.07
2012-05-15,4.05,4.05,4.05,4.05,000,4.05
2012-05-14,4.03,4.03,4.03,4.03,000,4.03
2012-05-11,4.00,4.00,4.00,4.00,000,4.00
2012-05-10,3.99,3.99,3.99,3.99,000,3.99
2012-05-09,4.00,4.00,4.00,4.00,000,4.00
2012-05-08,3.98,3.98,3.98,3.98,000,3.98
2012-05-07,3.97,3.97,3.97,3.97,000,3.97
2012-05-04,3.98,3.98,3.98,3.98,000,3.98
2012-05-03,3.92,3.92,3.92,3.92,000,3.92
2012-05-02,3.88,3.88,3.88,3.88,000,3.88
2012-05-01,3.87,3.87,3.87,3.87,000,3.87
2012-04-30,3.90,3.90,3.90,3.90,000,3.90
2012-04-27,3.89,3.89,3.89,3.89,000,3.89
2012-04-26,3.89,3.89,3.89,3.89,000,3.89
2012-04-25,3.91,3.91,3.91,3.91,000,3.91
2012-04-24,3.94,3.94,3.94,3.94,000,3.94
2012-04-23,3.95,3.95,3.95,3.95,000,3.95
2012-04-20,3.92,3.92,3.92,3.92,000,3.92
2012-04-19,3.92,3.92,3.92,3.92,000,3.92
2012-04-18,3.91,3.91,3.91,3.91,000,3.91
2012-04-17,3.90,3.90,3.90,3.90,000,3.90
2012-04-16,3.95,3.95,3.95,3.95,000,3.95
2012-04-13,3.95,3.95,3.95,3.95,000,3.95
2012-04-12,3.90,3.90,3.90,3.90,000,3.90
2012-04-11,3.96,3.96,3.96,3.96,000,3.96
2012-04-10,3.98,3.98,3.98,3.98,000,3.98
2012-04-09,3.93,3.93,3.93,3.93,000,3.93
2012-04-05,3.89,3.89,3.89,3.89,000,3.89
2012-04-04,3.89,3.89,3.89,3.89,000,3.89
2012-04-03,3.86,3.86,3.86,3.86,000,3.86
2012-04-02,3.85,3.85,3.85,3.85,000,3.85
2012-03-30,3.87,3.87,3.87,3.87,000,3.87
2012-03-29,3.88,3.88,3.88,3.88,000,3.88
2012-03-28,3.88,3.88,3.88,3.88,000,3.88
2012-03-27,3.86,3.86,3.86,3.86,000,3.86
2012-03-26,3.85,3.85,3.85,3.85,000,3.85
2012-03-23,3.89,3.89,3.89,3.89,000,3.89
2012-03-22,3.89,3.89,3.89,3.89,000,3.89
2012-03-21,3.88,3.88,3.88,3.88,000,3.88
2012-03-20,3.88,3.88,3.88,3.88,000,3.88
2012-03-19,3.87,3.87,3.87,3.87,000,3.87
2012-03-16,3.88,3.88,3.88,3.88,000,3.88
2012-03-15,3.89,3.89,3.89,3.89,000,3.89
2012-03-14,3.92,3.92,3.92,3.92,000,3.92
2012-03-13,3.91,3.91,3.91,3.91,000,3.91
2012-03-12,3.97,3.97,3.97,3.97,000,3.97
2012-03-09,3.97,3.97,3.97,3.97,000,3.97
2012-03-08,3.99,3.99,3.99,3.99,000,3.99
2012-03-07,4.02,4.02,4.02,4.02,000,4.02
2012-03-06,4.04,4.04,4.04,4.04,000,4.04
2012-03-05,4.00,4.00,4.00,4.00,000,4.00
2012-03-02,3.99,3.99,3.99,3.99,000,3.99
2012-03-01,3.97,3.97,3.97,3.97,000,3.97
2012-02-29,3.99,3.99,3.99,3.99,000,3.99
