Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,9.32,9.32,9.32,9.32,000,9.32
2012-05-24,9.31,9.31,9.31,9.31,000,9.31
2012-05-23,9.35,9.35,9.35,9.35,000,9.35
2012-05-22,9.36,9.36,9.36,9.36,000,9.36
2012-05-21,9.36,9.36,9.36,9.36,000,9.36
2012-05-18,9.38,9.38,9.38,9.38,000,9.38
2012-05-17,9.41,9.41,9.41,9.41,000,9.41
2012-05-16,9.43,9.43,9.43,9.43,000,9.43
2012-05-15,9.46,9.46,9.46,9.46,000,9.46
2012-05-14,9.48,9.48,9.48,9.48,000,9.48
2012-05-11,9.47,9.47,9.47,9.47,000,9.47
2012-05-10,9.47,9.47,9.47,9.47,000,9.47
2012-05-09,9.46,9.46,9.46,9.46,000,9.46
2012-05-08,9.46,9.46,9.46,9.46,000,9.46
2012-05-07,9.46,9.46,9.46,9.46,000,9.46
2012-05-04,9.46,9.46,9.46,9.46,000,9.46
2012-05-03,9.45,9.45,9.45,9.45,000,9.45
2012-05-02,9.44,9.44,9.44,9.44,000,9.44
2012-05-01,9.43,9.43,9.43,9.43,000,9.43
2012-04-30,9.42,9.42,9.42,9.42,000,9.42
2012-04-27,9.42,9.42,9.42,9.42,000,9.42
2012-04-26,9.40,9.40,9.40,9.40,000,9.40
2012-04-25,9.38,9.38,9.38,9.38,000,9.38
2012-04-24,9.38,9.38,9.38,9.38,000,9.38
2012-04-23,9.42,9.42,9.42,9.42,000,9.38
2012-04-20,9.41,9.41,9.41,9.41,000,9.37
2012-04-19,9.41,9.41,9.41,9.41,000,9.37
2012-04-18,9.41,9.41,9.41,9.41,000,9.37
2012-04-17,9.39,9.39,9.39,9.39,000,9.35
2012-04-16,9.39,9.39,9.39,9.39,000,9.35
2012-04-13,9.39,9.39,9.39,9.39,000,9.35
2012-04-12,9.36,9.36,9.36,9.36,000,9.32
2012-04-11,9.36,9.36,9.36,9.36,000,9.32
2012-04-10,9.38,9.38,9.38,9.38,000,9.34
2012-04-09,9.38,9.38,9.38,9.38,000,9.34
2012-04-05,9.36,9.36,9.36,9.36,000,9.32
2012-04-04,9.35,9.35,9.35,9.35,000,9.31
2012-04-03,9.34,9.34,9.34,9.34,000,9.30
2012-04-02,9.37,9.37,9.37,9.37,000,9.33
2012-03-30,9.36,9.36,9.36,9.36,000,9.32
2012-03-29,9.37,9.37,9.37,9.37,000,9.33
2012-03-28,9.36,9.36,9.36,9.36,000,9.32
2012-03-27,9.36,9.36,9.36,9.36,000,9.32
2012-03-26,9.34,9.34,9.34,9.34,000,9.30
2012-03-23,9.38,9.38,9.38,9.38,000,9.31
2012-03-22,9.36,9.36,9.36,9.36,000,9.29
2012-03-21,9.37,9.37,9.37,9.37,000,9.30
2012-03-20,9.34,9.34,9.34,9.34,000,9.27
2012-03-19,9.34,9.34,9.34,9.34,000,9.27
2012-03-16,9.36,9.36,9.36,9.36,000,9.29
2012-03-15,9.35,9.35,9.35,9.35,000,9.28
2012-03-14,9.34,9.34,9.34,9.34,000,9.27
2012-03-13,9.38,9.38,9.38,9.38,000,9.31
2012-03-12,9.39,9.39,9.39,9.39,000,9.32
2012-03-09,9.40,9.40,9.40,9.40,000,9.33
2012-03-08,9.39,9.39,9.39,9.39,000,9.32
2012-03-07,9.39,9.39,9.39,9.39,000,9.32
2012-03-06,9.40,9.40,9.40,9.40,000,9.33
2012-03-05,9.41,9.41,9.41,9.41,000,9.34
2012-03-02,9.43,9.43,9.43,9.43,000,9.35
2012-03-01,9.40,9.40,9.40,9.40,000,9.33
2012-02-29,9.41,9.41,9.41,9.41,000,9.34
2012-02-28,9.40,9.40,9.40,9.40,000,9.33
2012-02-27,9.40,9.40,9.40,9.40,000,9.33
2012-02-24,9.37,9.37,9.37,9.37,000,9.30
2012-02-23,9.40,9.40,9.40,9.40,000,9.29
2012-02-22,9.39,9.39,9.39,9.39,000,9.28
2012-02-21,9.37,9.37,9.37,9.37,000,9.26
2012-02-17,9.37,9.37,9.37,9.37,000,9.26
