Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,18.38,18.38,18.38,18.38,000,18.38
2012-05-24,18.41,18.41,18.41,18.41,000,18.41
2012-05-23,18.40,18.40,18.40,18.40,000,18.40
2012-05-22,18.33,18.33,18.33,18.33,000,18.33
2012-05-21,18.32,18.32,18.32,18.32,000,18.32
2012-05-18,17.98,17.98,17.98,17.98,000,17.98
2012-05-17,18.15,18.15,18.15,18.15,000,18.15
2012-05-16,18.50,18.50,18.50,18.50,000,18.50
2012-05-15,18.62,18.62,18.62,18.62,000,18.62
2012-05-14,18.71,18.71,18.71,18.71,000,18.71
2012-05-11,18.98,18.98,18.98,18.98,000,18.98
2012-05-10,19.05,19.05,19.05,19.05,000,19.05
2012-05-09,19.00,19.00,19.00,19.00,000,19.00
2012-05-08,19.12,19.12,19.12,19.12,000,19.12
2012-05-07,19.22,19.22,19.22,19.22,000,19.22
2012-05-04,19.23,19.23,19.23,19.23,000,19.23
2012-05-03,19.60,19.60,19.60,19.60,000,19.60
2012-05-02,19.80,19.80,19.80,19.80,000,19.80
2012-05-01,19.86,19.86,19.86,19.86,000,19.86
2012-04-30,19.72,19.72,19.72,19.72,000,19.72
2012-04-27,19.83,19.83,19.83,19.83,000,19.83
2012-04-26,19.82,19.82,19.82,19.82,000,19.82
2012-04-25,19.70,19.70,19.70,19.70,000,19.70
2012-04-24,19.41,19.41,19.41,19.41,000,19.41
2012-04-23,19.42,19.42,19.42,19.42,000,19.42
2012-04-20,19.61,19.61,19.61,19.61,000,19.61
2012-04-19,19.64,19.64,19.64,19.64,000,19.64
2012-04-18,19.69,19.69,19.69,19.69,000,19.69
2012-04-17,19.72,19.72,19.72,19.72,000,19.72
2012-04-16,19.41,19.41,19.41,19.41,000,19.41
2012-04-13,19.50,19.50,19.50,19.50,000,19.50
2012-04-12,19.74,19.74,19.74,19.74,000,19.74
2012-04-11,19.44,19.44,19.44,19.44,000,19.44
2012-04-10,19.28,19.28,19.28,19.28,000,19.28
2012-04-09,19.68,19.68,19.68,19.68,000,19.68
2012-04-05,19.96,19.96,19.96,19.96,000,19.96
2012-04-04,19.97,19.97,19.97,19.97,000,19.97
2012-04-03,20.29,20.29,20.29,20.29,000,20.29
2012-04-02,20.37,20.37,20.37,20.37,000,20.37
2012-03-30,20.23,20.23,20.23,20.23,000,20.23
2012-03-29,20.14,20.14,20.14,20.14,000,20.14
2012-03-28,20.14,20.14,20.14,20.14,000,20.14
2012-03-27,20.24,20.24,20.24,20.24,000,20.24
2012-03-26,20.31,20.31,20.31,20.31,000,20.31
2012-03-23,19.99,19.99,19.99,19.99,000,19.99
2012-03-22,19.92,19.92,19.92,19.92,000,19.92
2012-03-21,20.06,20.06,20.06,20.06,000,20.06
2012-03-20,20.08,20.08,20.08,20.08,000,20.08
2012-03-19,20.18,20.18,20.18,20.18,000,20.18
2012-03-16,20.08,20.08,20.08,20.08,000,20.08
2012-03-15,20.05,20.05,20.05,20.05,000,20.05
2012-03-14,19.88,19.88,19.88,19.88,000,19.88
2012-03-13,19.96,19.96,19.96,19.96,000,19.96
2012-03-12,19.57,19.57,19.57,19.57,000,19.57
2012-03-09,19.61,19.61,19.61,19.61,000,19.61
2012-03-08,19.55,19.55,19.55,19.55,000,19.55
2012-03-07,19.33,19.33,19.33,19.33,000,19.33
2012-03-06,19.15,19.15,19.15,19.15,000,19.15
2012-03-05,19.52,19.52,19.52,19.52,000,19.52
2012-03-02,19.67,19.67,19.67,19.67,000,19.67
2012-03-01,19.79,19.79,19.79,19.79,000,19.79
2012-02-29,19.62,19.62,19.62,19.62,000,19.62
2012-02-28,19.76,19.76,19.76,19.76,000,19.76
2012-02-27,19.65,19.65,19.65,19.65,000,19.65
2012-02-24,19.63,19.63,19.63,19.63,000,19.63
2012-02-23,19.62,19.62,19.62,19.62,000,19.62
2012-02-22,19.52,19.52,19.52,19.52,000,19.52
2012-02-21,19.58,19.58,19.58,19.58,000,19.58
2012-02-17,19.56,19.56,19.56,19.56,000,19.56
2012-02-16,19.59,19.59,19.59,19.59,000,19.59
2012-02-15,19.33,19.33,19.33,19.33,000,19.33
2012-02-14,19.42,19.42,19.42,19.42,000,19.42
2012-02-13,19.44,19.44,19.44,19.44,000,19.44
2012-02-10,19.30,19.30,19.30,19.30,000,19.30
2012-02-09,19.45,19.45,19.45,19.45,000,19.45
2012-02-08,19.44,19.44,19.44,19.44,000,19.44
2012-02-07,19.42,19.42,19.42,19.42,000,19.42
2012-02-06,19.39,19.39,19.39,19.39,000,19.39
2012-02-03,19.41,19.41,19.41,19.41,000,19.41
2012-02-02,19.10,19.10,19.10,19.10,000,19.10
2012-02-01,19.07,19.07,19.07,19.07,000,19.07
2012-01-31,18.83,18.83,18.83,18.83,000,18.83
2012-01-30,18.84,18.84,18.84,18.84,000,18.84
2012-01-27,18.90,18.90,18.90,18.90,000,18.90
2012-01-26,18.87,18.87,18.87,18.87,000,18.87
2012-01-25,18.99,18.99,18.99,18.99,000,18.99
2012-01-24,18.85,18.85,18.85,18.85,000,18.85
2012-01-23,18.85,18.85,18.85,18.85,000,18.85
2012-01-20,18.82,18.82,18.82,18.82,000,18.82
2012-01-19,18.80,18.80,18.80,18.80,000,18.80
2012-01-18,18.73,18.73,18.73,18.73,000,18.73
2012-01-17,18.52,18.52,18.52,18.52,000,18.52
2012-01-13,18.48,18.48,18.48,18.48,000,18.48
2012-01-12,18.59,18.59,18.59,18.59,000,18.59
2012-01-11,18.53,18.53,18.53,18.53,000,18.53
2012-01-10,18.48,18.48,18.48,18.48,000,18.48
2012-01-09,18.27,18.27,18.27,18.27,000,18.27
2012-01-06,18.19,18.19,18.19,18.19,000,18.19
2012-01-05,18.22,18.22,18.22,18.22,000,18.22
2012-01-04,18.18,18.18,18.18,18.18,000,18.18
2012-01-03,18.18,18.18,18.18,18.18,000,18.18
2011-12-30,17.91,17.91,17.91,17.91,000,17.91
2011-12-29,17.98,17.98,17.98,17.98,000,17.98
2011-12-28,17.79,17.79,17.79,17.79,000,17.79
2011-12-27,18.01,18.01,18.01,18.01,000,18.01
2011-12-23,18.01,18.01,18.01,18.01,000,18.01
2011-12-22,17.85,17.85,17.85,17.85,000,17.85
2011-12-21,17.71,17.71,17.71,17.71,000,17.71
2011-12-20,17.69,17.69,17.69,17.69,000,17.69
2011-12-19,17.17,17.17,17.17,17.17,000,17.17
2011-12-16,17.40,17.40,17.40,17.40,000,17.40
2011-12-15,17.32,17.32,17.32,17.32,000,17.32
2011-12-14,17.29,17.29,17.29,17.29,000,17.29
2011-12-13,17.61,17.61,17.61,17.61,000,17.50
2011-12-12,17.77,17.77,17.77,17.77,000,17.66
2011-12-09,18.07,18.07,18.07,18.07,000,17.96
2011-12-08,17.75,17.75,17.75,17.75,000,17.64
2011-12-07,18.15,18.15,18.15,18.15,000,18.04
2011-12-06,18.12,18.12,18.12,18.12,000,18.01
2011-12-05,18.09,18.09,18.09,18.09,000,17.98
2011-12-02,17.89,17.89,17.89,17.89,000,17.78
2011-12-01,17.92,17.92,17.92,17.92,000,17.81
2011-11-30,17.93,17.93,17.93,17.93,000,17.82
2011-11-29,17.19,17.19,17.19,17.19,000,17.08
2011-11-28,17.13,17.13,17.13,17.13,000,17.02
2011-11-25,16.67,16.67,16.67,16.67,000,16.57
2011-11-23,16.71,16.71,16.71,16.71,000,16.61
2011-11-22,17.12,17.12,17.12,17.12,000,17.01
2011-11-21,17.20,17.20,17.20,17.20,000,17.09
2011-11-18,17.34,17.34,17.34,17.34,000,17.23
2011-11-17,17.37,17.37,17.37,17.37,000,17.26
2011-11-16,17.71,17.71,17.71,17.71,000,17.60
2011-11-15,18.01,18.01,18.01,18.01,000,17.90
2011-11-14,17.92,17.92,17.92,17.92,000,17.81
2011-11-11,18.08,18.08,18.08,18.08,000,17.97
2011-11-10,17.74,17.74,17.74,17.74,000,17.63
2011-11-09,17.62,17.62,17.62,17.62,000,17.51
2011-11-08,18.30,18.30,18.30,18.30,000,18.19
2011-11-07,18.10,18.10,18.10,18.10,000,17.99
2011-11-04,17.98,17.98,17.98,17.98,000,17.87
2011-11-03,18.08,18.08,18.08,18.08,000,17.97
2011-11-02,17.73,17.73,17.73,17.73,000,17.62
2011-11-01,17.46,17.46,17.46,17.46,000,17.35
2011-10-31,17.89,17.89,17.89,17.89,000,17.78
2011-10-28,18.28,18.28,18.28,18.28,000,18.17
2011-10-27,18.28,18.28,18.28,18.28,000,18.17
2011-10-26,17.77,17.77,17.77,17.77,000,17.66
2011-10-25,17.64,17.64,17.64,17.64,000,17.53
2011-10-24,17.97,17.97,17.97,17.97,000,17.86
2011-10-21,17.77,17.77,17.77,17.77,000,17.66
2011-10-20,17.51,17.51,17.51,17.51,000,17.40
2011-10-19,17.43,17.43,17.43,17.43,000,17.32
2011-10-18,17.64,17.64,17.64,17.64,000,17.53
2011-10-17,17.36,17.36,17.36,17.36,000,17.25
2011-10-14,17.65,17.65,17.65,17.65,000,17.54
2011-10-13,17.39,17.39,17.39,17.39,000,17.28
2011-10-12,17.43,17.43,17.43,17.43,000,17.32
2011-10-11,17.33,17.33,17.33,17.33,000,17.22
2011-10-10,17.31,17.31,17.31,17.31,000,17.20
2011-10-07,16.80,16.80,16.80,16.80,000,16.70
2011-10-06,16.89,16.89,16.89,16.89,000,16.79
2011-10-05,16.64,16.64,16.64,16.64,000,16.54
2011-10-04,16.39,16.39,16.39,16.39,000,16.29
2011-10-03,16.16,16.16,16.16,16.16,000,16.06
2011-09-30,16.58,16.58,16.58,16.58,000,16.48
2011-09-29,16.92,16.92,16.92,16.92,000,16.82
2011-09-28,16.87,16.87,16.87,16.87,000,16.77
2011-09-27,17.20,17.20,17.20,17.20,000,17.09
2011-09-26,17.04,17.04,17.04,17.04,000,16.93
2011-09-23,16.73,16.73,16.73,16.73,000,16.63
2011-09-22,16.69,16.69,16.69,16.69,000,16.59
2011-09-21,17.12,17.12,17.12,17.12,000,17.01
2011-09-20,17.56,17.56,17.56,17.56,000,17.45
2011-09-19,17.61,17.61,17.61,17.61,000,17.50
2011-09-16,17.72,17.72,17.72,17.72,000,17.61
2011-09-15,17.65,17.65,17.65,17.65,000,17.54
2011-09-14,17.42,17.42,17.42,17.42,000,17.31
2011-09-13,17.26,17.26,17.26,17.26,000,17.15
2011-09-12,17.11,17.11,17.11,17.11,000,17.00
2011-09-09,17.03,17.03,17.03,17.03,000,16.92
2011-09-08,17.44,17.44,17.44,17.44,000,17.33
2011-09-07,17.59,17.59,17.59,17.59,000,17.48
2011-09-06,17.17,17.17,17.17,17.17,000,17.06
2011-09-02,17.28,17.28,17.28,17.28,000,17.17
2011-09-01,17.63,17.63,17.63,17.63,000,17.52
2011-08-31,17.79,17.79,17.79,17.79,000,17.68
2011-08-30,17.73,17.73,17.73,17.73,000,17.62
2011-08-29,17.66,17.66,17.66,17.66,000,17.55
2011-08-26,17.23,17.23,17.23,17.23,000,17.12
2011-08-25,16.96,16.96,16.96,16.96,000,16.86
2011-08-24,17.24,17.24,17.24,17.24,000,17.13
2011-08-23,17.06,17.06,17.06,17.06,000,16.95
2011-08-22,16.53,16.53,16.53,16.53,000,16.43
2011-08-19,16.49,16.49,16.49,16.49,000,16.39
2011-08-18,16.71,16.71,16.71,16.71,000,16.61
2011-08-17,17.43,17.43,17.43,17.43,000,17.32
2011-08-16,17.41,17.41,17.41,17.41,000,17.30
2011-08-15,17.58,17.58,17.58,17.58,000,17.47
2011-08-12,17.25,17.25,17.25,17.25,000,17.14
2011-08-11,17.14,17.14,17.14,17.14,000,17.03
2011-08-10,16.44,16.44,16.44,16.44,000,16.34
2011-08-09,17.03,17.03,17.03,17.03,000,16.92
2011-08-08,16.20,16.20,16.20,16.20,000,16.10
2011-08-05,17.35,17.35,17.35,17.35,000,17.24
2011-08-04,17.37,17.37,17.37,17.37,000,17.26
2011-08-03,18.34,18.34,18.34,18.34,000,18.23
2011-08-02,18.27,18.27,18.27,18.27,000,18.16
2011-08-01,18.74,18.74,18.74,18.74,000,18.62
2011-07-29,18.80,18.80,18.80,18.80,000,18.68
2011-07-28,18.88,18.88,18.88,18.88,000,18.76
2011-07-27,18.93,18.93,18.93,18.93,000,18.81
2011-07-26,19.37,19.37,19.37,19.37,000,19.25
2011-07-25,19.43,19.43,19.43,19.43,000,19.31
2011-07-22,19.53,19.53,19.53,19.53,000,19.41
2011-07-21,19.49,19.49,19.49,19.49,000,19.37
2011-07-20,19.28,19.28,19.28,19.28,000,19.16
2011-07-19,19.30,19.30,19.30,19.30,000,19.18
2011-07-18,18.98,18.98,18.98,18.98,000,18.86
2011-07-15,19.15,19.15,19.15,19.15,000,19.03
2011-07-14,19.05,19.05,19.05,19.05,000,18.93
2011-07-13,19.17,19.17,19.17,19.17,000,19.05
2011-07-12,19.09,19.09,19.09,19.09,000,18.97
2011-07-11,19.17,19.17,19.17,19.17,000,19.05
2011-07-08,19.61,19.61,19.61,19.61,000,19.49
2011-07-07,19.70,19.70,19.70,19.70,000,19.58
2011-07-06,19.47,19.47,19.47,19.47,000,19.35
2011-07-05,19.46,19.46,19.46,19.46,000,19.34
2011-07-01,19.46,19.46,19.46,19.46,000,19.34
2011-06-30,19.21,19.21,19.21,19.21,000,19.09
2011-06-29,19.04,19.04,19.04,19.04,000,18.92
2011-06-28,18.90,18.90,18.90,18.90,000,18.78
2011-06-27,18.60,18.60,18.60,18.60,000,18.48
2011-06-24,18.40,18.40,18.40,18.40,000,18.29
2011-06-23,18.62,18.62,18.62,18.62,000,18.50
2011-06-22,18.67,18.67,18.67,18.67,000,18.55
