Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,21.51,21.51,21.51,21.51,000,21.51
2012-05-24,21.54,21.54,21.54,21.54,000,21.54
2012-05-23,21.71,21.71,21.71,21.71,000,21.71
2012-05-22,21.93,21.93,21.93,21.93,000,21.93
2012-05-21,21.85,21.85,21.85,21.85,000,21.85
2012-05-18,21.39,21.39,21.39,21.39,000,21.39
2012-05-17,21.61,21.61,21.61,21.61,000,21.61
2012-05-16,21.98,21.98,21.98,21.98,000,21.98
2012-05-15,22.15,22.15,22.15,22.15,000,22.15
2012-05-14,22.44,22.44,22.44,22.44,000,22.44
2012-05-11,22.98,22.98,22.98,22.98,000,22.98
2012-05-10,23.00,23.00,23.00,23.00,000,23.00
2012-05-09,22.93,22.93,22.93,22.93,000,22.93
2012-05-08,23.14,23.14,23.14,23.14,000,23.14
2012-05-07,23.53,23.53,23.53,23.53,000,23.53
2012-05-04,23.44,23.44,23.44,23.44,000,23.44
2012-05-03,23.99,23.99,23.99,23.99,000,23.99
2012-05-02,24.20,24.20,24.20,24.20,000,24.20
2012-05-01,24.32,24.32,24.32,24.32,000,24.32
2012-04-30,24.14,24.14,24.14,24.14,000,24.14
2012-04-27,24.36,24.36,24.36,24.36,000,24.36
2012-04-26,24.23,24.23,24.23,24.23,000,24.23
2012-04-25,24.10,24.10,24.10,24.10,000,24.10
2012-04-24,23.74,23.74,23.74,23.74,000,23.74
2012-04-23,23.53,23.53,23.53,23.53,000,23.53
2012-04-20,24.13,24.13,24.13,24.13,000,24.13
2012-04-19,23.90,23.90,23.90,23.90,000,23.90
2012-04-18,24.03,24.03,24.03,24.03,000,24.03
2012-04-17,24.20,24.20,24.20,24.20,000,24.20
2012-04-16,23.75,23.75,23.75,23.75,000,23.75
2012-04-13,23.63,23.63,23.63,23.63,000,23.63
2012-04-12,24.25,24.25,24.25,24.25,000,24.25
2012-04-11,23.62,23.62,23.62,23.62,000,23.62
2012-04-10,23.25,23.25,23.25,23.25,000,23.25
2012-04-09,23.84,23.84,23.84,23.84,000,23.84
2012-04-05,24.01,24.01,24.01,24.01,000,24.01
2012-04-04,24.10,24.10,24.10,24.10,000,24.10
2012-04-03,24.79,24.79,24.79,24.79,000,24.79
2012-04-02,25.12,25.12,25.12,25.12,000,25.12
2012-03-30,24.85,24.85,24.85,24.85,000,24.85
2012-03-29,24.59,24.59,24.59,24.59,000,24.59
2012-03-28,24.91,24.91,24.91,24.91,000,24.91
2012-03-27,25.18,25.18,25.18,25.18,000,25.18
2012-03-26,25.34,25.34,25.34,25.34,000,25.34
2012-03-23,24.85,24.85,24.85,24.85,000,24.85
2012-03-22,24.69,24.69,24.69,24.69,000,24.69
2012-03-21,25.04,25.04,25.04,25.04,000,25.04
2012-03-20,25.02,25.02,25.02,25.02,000,25.02
2012-03-19,25.39,25.39,25.39,25.39,000,25.39
2012-03-16,25.35,25.35,25.35,25.35,000,25.35
2012-03-15,25.18,25.18,25.18,25.18,000,25.18
2012-03-14,24.87,24.87,24.87,24.87,000,24.87
2012-03-13,24.97,24.97,24.97,24.97,000,24.97
2012-03-12,24.50,24.50,24.50,24.50,000,24.50
2012-03-09,24.55,24.55,24.55,24.55,000,24.55
2012-03-08,24.62,24.62,24.62,24.62,000,24.62
2012-03-07,23.88,23.88,23.88,23.88,000,23.88
2012-03-06,23.54,23.54,23.54,23.54,000,23.54
2012-03-05,24.50,24.50,24.50,24.50,000,24.50
2012-03-02,24.75,24.75,24.75,24.75,000,24.75
2012-03-01,24.86,24.86,24.86,24.86,000,24.86
2012-02-29,24.54,24.54,24.54,24.54,000,24.54
2012-02-28,24.72,24.72,24.72,24.72,000,24.72
