Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,11.51,11.51,11.51,11.51,000,11.51
2012-05-24,11.51,11.51,11.51,11.51,000,11.51
2012-05-23,11.52,11.52,11.52,11.52,000,11.52
2012-05-22,11.52,11.52,11.52,11.52,000,11.52
2012-05-21,11.52,11.52,11.52,11.52,000,11.52
2012-05-18,11.52,11.52,11.52,11.52,000,11.52
2012-05-17,11.53,11.53,11.53,11.53,000,11.53
2012-05-16,11.53,11.53,11.53,11.53,000,11.53
2012-05-15,11.52,11.52,11.52,11.52,000,11.52
2012-05-14,11.52,11.52,11.52,11.52,000,11.52
2012-05-11,11.53,11.53,11.53,11.53,000,11.53
2012-05-10,11.54,11.54,11.54,11.54,000,11.54
2012-05-09,11.55,11.55,11.55,11.55,000,11.55
2012-05-08,11.58,11.58,11.58,11.58,000,11.58
2012-05-07,11.58,11.58,11.58,11.58,000,11.58
2012-05-04,11.58,11.58,11.58,11.58,000,11.58
2012-05-03,11.58,11.58,11.58,11.58,000,11.58
2012-05-02,11.57,11.57,11.57,11.57,000,11.57
2012-05-01,11.56,11.56,11.56,11.56,000,11.56
2012-04-30,11.53,11.53,11.53,11.53,000,11.53
2012-04-27,11.53,11.53,11.53,11.53,000,11.50
2012-04-26,11.53,11.53,11.53,11.53,000,11.50
2012-04-25,11.53,11.53,11.53,11.53,000,11.50
2012-04-24,11.54,11.54,11.54,11.54,000,11.51
2012-04-23,11.54,11.54,11.54,11.54,000,11.51
2012-04-20,11.55,11.55,11.55,11.55,000,11.52
2012-04-19,11.55,11.55,11.55,11.55,000,11.52
2012-04-18,11.55,11.55,11.55,11.55,000,11.52
2012-04-17,11.54,11.54,11.54,11.54,000,11.51
2012-04-16,11.55,11.55,11.55,11.55,000,11.52
2012-04-13,11.55,11.55,11.55,11.55,000,11.52
2012-04-12,11.54,11.54,11.54,11.54,000,11.51
2012-04-11,11.55,11.55,11.55,11.55,000,11.52
2012-04-10,11.56,11.56,11.56,11.56,000,11.53
2012-04-09,11.58,11.58,11.58,11.58,000,11.55
2012-04-05,11.54,11.54,11.54,11.54,000,11.51
