Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,11.63,11.63,11.63,11.63,000,11.63
2012-05-24,11.63,11.63,11.63,11.63,000,11.63
2012-05-23,11.64,11.64,11.64,11.64,000,11.64
2012-05-22,11.64,11.64,11.64,11.64,000,11.64
2012-05-21,11.64,11.64,11.64,11.64,000,11.64
2012-05-18,11.64,11.64,11.64,11.64,000,11.64
2012-05-17,11.64,11.64,11.64,11.64,000,11.64
2012-05-16,11.65,11.65,11.65,11.65,000,11.65
2012-05-15,11.66,11.66,11.66,11.66,000,11.66
2012-05-14,11.66,11.66,11.66,11.66,000,11.66
2012-05-11,11.67,11.67,11.67,11.67,000,11.67
2012-05-10,11.67,11.67,11.67,11.67,000,11.67
2012-05-09,11.67,11.67,11.67,11.67,000,11.67
2012-05-08,11.67,11.67,11.67,11.67,000,11.67
2012-05-07,11.67,11.67,11.67,11.67,000,11.67
2012-05-04,11.67,11.67,11.67,11.67,000,11.67
2012-05-03,11.67,11.67,11.67,11.67,000,11.67
2012-05-02,11.67,11.67,11.67,11.67,000,11.67
2012-05-01,11.67,11.67,11.67,11.67,000,11.67
2012-04-30,11.67,11.67,11.67,11.67,000,11.67
2012-04-27,11.67,11.67,11.67,11.67,000,11.66
2012-04-26,11.67,11.67,11.67,11.67,000,11.66
2012-04-25,11.67,11.67,11.67,11.67,000,11.66
2012-04-24,11.67,11.67,11.67,11.67,000,11.66
2012-04-23,11.67,11.67,11.67,11.67,000,11.66
2012-04-20,11.67,11.67,11.67,11.67,000,11.66
2012-04-19,11.67,11.67,11.67,11.67,000,11.66
2012-04-18,11.67,11.67,11.67,11.67,000,11.66
2012-04-17,11.67,11.67,11.67,11.67,000,11.66
2012-04-16,11.67,11.67,11.67,11.67,000,11.66
2012-04-13,11.67,11.67,11.67,11.67,000,11.66
2012-04-12,11.66,11.66,11.66,11.66,000,11.65
2012-04-11,11.66,11.66,11.66,11.66,000,11.65
2012-04-10,11.66,11.66,11.66,11.66,000,11.65
2012-04-09,11.65,11.65,11.65,11.65,000,11.64
