Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,23.56,23.56,23.56,23.56,000,23.56
2012-05-24,23.49,23.49,23.49,23.49,000,23.49
2012-05-23,23.54,23.54,23.54,23.54,000,23.54
2012-05-22,23.44,23.44,23.44,23.44,000,23.44
2012-05-21,23.59,23.59,23.59,23.59,000,23.59
2012-05-18,22.93,22.93,22.93,22.93,000,22.93
2012-05-17,23.28,23.28,23.28,23.28,000,23.28
2012-05-16,23.84,23.84,23.84,23.84,000,23.84
2012-05-15,24.07,24.07,24.07,24.07,000,24.07
2012-05-14,24.15,24.15,24.15,24.15,000,24.15
2012-05-11,24.51,24.51,24.51,24.51,000,24.51
2012-05-10,24.44,24.44,24.44,24.44,000,24.44
2012-05-09,24.48,24.48,24.48,24.48,000,24.48
2012-05-08,25.24,25.24,25.24,25.24,000,25.24
2012-05-07,25.39,25.39,25.39,25.39,000,25.39
2012-05-04,25.38,25.38,25.38,25.38,000,25.38
2012-05-03,25.92,25.92,25.92,25.92,000,25.92
2012-05-02,26.33,26.33,26.33,26.33,000,26.33
2012-05-01,26.20,26.20,26.20,26.20,000,26.20
2012-04-30,26.12,26.12,26.12,26.12,000,26.12
2012-04-27,26.13,26.13,26.13,26.13,000,26.13
2012-04-26,25.89,25.89,25.89,25.89,000,25.89
2012-04-25,25.64,25.64,25.64,25.64,000,25.64
2012-04-24,25.19,25.19,25.19,25.19,000,25.19
2012-04-23,25.30,25.30,25.30,25.30,000,25.30
2012-04-20,25.63,25.63,25.63,25.63,000,25.63
2012-04-19,25.51,25.51,25.51,25.51,000,25.51
2012-04-18,25.43,25.43,25.43,25.43,000,25.43
2012-04-17,25.61,25.61,25.61,25.61,000,25.61
2012-04-16,25.24,25.24,25.24,25.24,000,25.24
2012-04-13,25.30,25.30,25.30,25.30,000,25.30
2012-04-12,25.57,25.57,25.57,25.57,000,25.57
2012-04-11,25.20,25.20,25.20,25.20,000,25.20
2012-04-10,24.80,24.80,24.80,24.80,000,24.80
2012-04-09,25.57,25.57,25.57,25.57,000,25.57
2012-04-05,26.10,26.10,26.10,26.10,000,26.10
2012-04-04,26.00,26.00,26.00,26.00,000,26.00
2012-04-03,26.53,26.53,26.53,26.53,000,26.53
2012-04-02,26.60,26.60,26.60,26.60,000,26.60
2012-03-30,26.32,26.32,26.32,26.32,000,26.32
2012-03-29,26.19,26.19,26.19,26.19,000,26.19
2012-03-28,26.15,26.15,26.15,26.15,000,26.15
2012-03-27,26.33,26.33,26.33,26.33,000,26.33
2012-03-26,26.46,26.46,26.46,26.46,000,26.46
2012-03-23,26.02,26.02,26.02,26.02,000,26.02
2012-03-22,25.81,25.81,25.81,25.81,000,25.81
2012-03-21,26.00,26.00,26.00,26.00,000,26.00
2012-03-20,25.88,25.88,25.88,25.88,000,25.88
2012-03-19,26.05,26.05,26.05,26.05,000,26.05
2012-03-16,25.83,25.83,25.83,25.83,000,25.83
2012-03-15,25.76,25.76,25.76,25.76,000,25.76
2012-03-14,25.47,25.47,25.47,25.47,000,25.47
2012-03-13,25.61,25.61,25.61,25.61,000,25.61
2012-03-12,25.05,25.05,25.05,25.05,000,25.05
2012-03-09,25.10,25.10,25.10,25.10,000,25.10
2012-03-08,24.94,24.94,24.94,24.94,000,24.94
2012-03-07,24.43,24.43,24.43,24.43,000,24.43
2012-03-06,24.23,24.23,24.23,24.23,000,24.23
2012-03-05,24.75,24.75,24.75,24.75,000,24.75
2012-03-02,24.90,24.90,24.90,24.90,000,24.90
2012-03-01,25.27,25.27,25.27,25.27,000,25.27
2012-02-29,24.99,24.99,24.99,24.99,000,24.99
2012-02-28,25.13,25.13,25.13,25.13,000,25.13
2012-02-27,25.09,25.09,25.09,25.09,000,25.09
2012-02-24,25.07,25.07,25.07,25.07,000,25.07
2012-02-23,25.03,25.03,25.03,25.03,000,25.03
2012-02-22,24.66,24.66,24.66,24.66,000,24.66
2012-02-21,24.78,24.78,24.78,24.78,000,24.78
2012-02-17,24.98,24.98,24.98,24.98,000,24.98
2012-02-16,25.07,25.07,25.07,25.07,000,25.07
2012-02-15,24.67,24.67,24.67,24.67,000,24.67
2012-02-14,24.70,24.70,24.70,24.70,000,24.70
2012-02-13,24.86,24.86,24.86,24.86,000,24.86
2012-02-10,24.51,24.51,24.51,24.51,000,24.51
2012-02-09,24.81,24.81,24.81,24.81,000,24.81
2012-02-08,24.83,24.83,24.83,24.83,000,24.83
2012-02-07,24.80,24.80,24.80,24.80,000,24.80
2012-02-06,24.82,24.82,24.82,24.82,000,24.82
2012-02-03,24.80,24.80,24.80,24.80,000,24.80
2012-02-02,24.21,24.21,24.21,24.21,000,24.21
2012-02-01,23.79,23.79,23.79,23.79,000,23.79
2012-01-31,23.20,23.20,23.20,23.20,000,23.20
2012-01-30,23.09,23.09,23.09,23.09,000,23.09
2012-01-27,23.29,23.29,23.29,23.29,000,23.29
2012-01-26,23.09,23.09,23.09,23.09,000,23.09
2012-01-25,23.05,23.05,23.05,23.05,000,23.05
2012-01-24,22.73,22.73,22.73,22.73,000,22.73
2012-01-23,22.62,22.62,22.62,22.62,000,22.62
2012-01-20,22.69,22.69,22.69,22.69,000,22.69
2012-01-19,22.87,22.87,22.87,22.87,000,22.87
2012-01-18,22.68,22.68,22.68,22.68,000,22.68
