Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,13.31,13.31,13.31,13.31,000,13.31
2012-05-24,13.34,13.34,13.34,13.34,000,13.34
2012-05-23,13.32,13.32,13.32,13.32,000,13.32
2012-05-22,13.29,13.29,13.29,13.29,000,13.29
2012-05-21,13.29,13.29,13.29,13.29,000,13.29
2012-05-18,13.07,13.07,13.07,13.07,000,13.07
2012-05-17,13.17,13.17,13.17,13.17,000,13.17
2012-05-16,13.38,13.38,13.38,13.38,000,13.38
2012-05-15,13.43,13.43,13.43,13.43,000,13.43
2012-05-14,13.50,13.50,13.50,13.50,000,13.50
2012-05-11,13.66,13.66,13.66,13.66,000,13.66
2012-05-10,13.70,13.70,13.70,13.70,000,13.70
2012-05-09,13.67,13.67,13.67,13.67,000,13.67
2012-05-08,13.76,13.76,13.76,13.76,000,13.76
2012-05-07,13.81,13.81,13.81,13.81,000,13.81
2012-05-04,13.81,13.81,13.81,13.81,000,13.81
2012-05-03,14.04,14.04,14.04,14.04,000,14.04
2012-05-02,14.15,14.15,14.15,14.15,000,14.15
2012-05-01,14.18,14.18,14.18,14.18,000,14.18
2012-04-30,14.10,14.10,14.10,14.10,000,14.10
2012-04-27,14.16,14.16,14.16,14.16,000,14.16
2012-04-26,14.12,14.12,14.12,14.12,000,14.12
2012-04-25,14.03,14.03,14.03,14.03,000,14.03
2012-04-24,13.84,13.84,13.84,13.84,000,13.84
2012-04-23,13.79,13.79,13.79,13.79,000,13.79
2012-04-20,13.91,13.91,13.91,13.91,000,13.91
2012-04-19,13.89,13.89,13.89,13.89,000,13.89
2012-04-18,13.97,13.97,13.97,13.97,000,13.97
2012-04-17,14.03,14.03,14.03,14.03,000,14.03
2012-04-16,13.82,13.82,13.82,13.82,000,13.82
2012-04-13,13.83,13.83,13.83,13.83,000,13.83
2012-04-12,14.00,14.00,14.00,14.00,000,14.00
2012-04-11,13.81,13.81,13.81,13.81,000,13.81
2012-04-10,13.71,13.71,13.71,13.71,000,13.71
2012-04-09,13.95,13.95,13.95,13.95,000,13.95
2012-04-05,14.11,14.11,14.11,14.11,000,14.11
2012-04-04,14.11,14.11,14.11,14.11,000,14.11
2012-04-03,14.26,14.26,14.26,14.26,000,14.26
2012-04-02,14.31,14.31,14.31,14.31,000,14.31
2012-03-30,14.20,14.20,14.20,14.20,000,14.20
2012-03-29,14.16,14.16,14.16,14.16,000,14.16
2012-03-28,14.18,14.18,14.18,14.18,000,14.18
2012-03-27,14.24,14.24,14.24,14.24,000,14.24
2012-03-26,14.28,14.28,14.28,14.28,000,14.28
2012-03-23,14.13,14.13,14.13,14.13,000,14.08
2012-03-22,14.09,14.09,14.09,14.09,000,14.04
2012-03-21,14.19,14.19,14.19,14.19,000,14.14
2012-03-20,14.21,14.21,14.21,14.21,000,14.16
2012-03-19,14.26,14.26,14.26,14.26,000,14.21
2012-03-16,14.20,14.20,14.20,14.20,000,14.15
2012-03-15,14.19,14.19,14.19,14.19,000,14.14
2012-03-14,14.11,14.11,14.11,14.11,000,14.06
2012-03-13,14.12,14.12,14.12,14.12,000,14.07
2012-03-12,13.87,13.87,13.87,13.87,000,13.82
2012-03-09,13.86,13.86,13.86,13.86,000,13.81
2012-03-08,13.81,13.81,13.81,13.81,000,13.76
2012-03-07,13.68,13.68,13.68,13.68,000,13.63
2012-03-06,13.58,13.58,13.58,13.58,000,13.53
2012-03-05,13.79,13.79,13.79,13.79,000,13.74
2012-03-02,13.85,13.85,13.85,13.85,000,13.80
2012-03-01,13.89,13.89,13.89,13.89,000,13.84
2012-02-29,13.80,13.80,13.80,13.80,000,13.75
2012-02-28,13.87,13.87,13.87,13.87,000,13.82
2012-02-27,13.82,13.82,13.82,13.82,000,13.77
2012-02-24,13.80,13.80,13.80,13.80,000,13.75
2012-02-23,13.78,13.78,13.78,13.78,000,13.73
2012-02-22,13.72,13.72,13.72,13.72,000,13.67
2012-02-21,13.77,13.77,13.77,13.77,000,13.72
2012-02-17,13.76,13.76,13.76,13.76,000,13.71
2012-02-16,13.73,13.73,13.73,13.73,000,13.68
2012-02-15,13.57,13.57,13.57,13.57,000,13.52
2012-02-14,13.64,13.64,13.64,13.64,000,13.59
2012-02-13,13.65,13.65,13.65,13.65,000,13.60
2012-02-10,13.56,13.56,13.56,13.56,000,13.51
2012-02-09,13.65,13.65,13.65,13.65,000,13.60
2012-02-08,13.63,13.63,13.63,13.63,000,13.58
2012-02-07,13.60,13.60,13.60,13.60,000,13.55
2012-02-06,13.57,13.57,13.57,13.57,000,13.52
2012-02-03,13.58,13.58,13.58,13.58,000,13.53
2012-02-02,13.38,13.38,13.38,13.38,000,13.33
2012-02-01,13.37,13.37,13.37,13.37,000,13.32
2012-01-31,13.25,13.25,13.25,13.25,000,13.20
2012-01-30,13.25,13.25,13.25,13.25,000,13.20
2012-01-27,13.29,13.29,13.29,13.29,000,13.24
2012-01-26,13.31,13.31,13.31,13.31,000,13.26
2012-01-25,13.38,13.38,13.38,13.38,000,13.33
2012-01-24,13.27,13.27,13.27,13.27,000,13.22
2012-01-23,13.29,13.29,13.29,13.29,000,13.24
2012-01-20,13.28,13.28,13.28,13.28,000,13.23
2012-01-19,13.27,13.27,13.27,13.27,000,13.22
2012-01-18,13.21,13.21,13.21,13.21,000,13.17
2012-01-17,13.06,13.06,13.06,13.06,000,13.02
2012-01-13,13.01,13.01,13.01,13.01,000,12.97
2012-01-12,13.08,13.08,13.08,13.08,000,13.04
2012-01-11,13.05,13.05,13.05,13.05,000,13.01
2012-01-10,13.04,13.04,13.04,13.04,000,13.00
2012-01-09,12.93,12.93,12.93,12.93,000,12.89
2012-01-06,12.90,12.90,12.90,12.90,000,12.86
2012-01-05,12.93,12.93,12.93,12.93,000,12.89
2012-01-04,12.89,12.89,12.89,12.89,000,12.85
2012-01-03,12.88,12.88,12.88,12.88,000,12.84
2011-12-30,12.69,12.69,12.69,12.69,000,12.65
2011-12-29,12.74,12.74,12.74,12.74,000,12.70
2011-12-28,12.61,12.61,12.61,12.61,000,12.57
2011-12-27,12.76,12.76,12.76,12.76,000,12.72
2011-12-23,12.76,12.76,12.76,12.76,000,12.72
2011-12-22,12.65,12.65,12.65,12.65,000,12.61
2011-12-21,12.58,12.58,12.58,12.58,000,12.49
2011-12-20,12.56,12.56,12.56,12.56,000,12.47
2011-12-19,12.19,12.19,12.19,12.19,000,12.11
2011-12-16,12.34,12.34,12.34,12.34,000,12.25
2011-12-15,12.31,12.31,12.31,12.31,000,12.22
2011-12-14,12.27,12.27,12.27,12.27,000,12.18
2011-12-13,12.40,12.40,12.40,12.40,000,12.31
2011-12-12,12.51,12.51,12.51,12.51,000,12.42
2011-12-09,12.70,12.70,12.70,12.70,000,12.61
2011-12-08,12.49,12.49,12.49,12.49,000,12.40
2011-12-07,12.76,12.76,12.76,12.76,000,12.67
2011-12-06,12.73,12.73,12.73,12.73,000,12.64
2011-12-05,12.97,12.97,12.97,12.97,000,12.63
2011-12-02,12.84,12.84,12.84,12.84,000,12.50
2011-12-01,12.84,12.84,12.84,12.84,000,12.50
2011-11-30,12.87,12.87,12.87,12.87,000,12.53
2011-11-29,12.33,12.33,12.33,12.33,000,12.00
2011-11-28,12.30,12.30,12.30,12.30,000,11.97
2011-11-25,11.95,11.95,11.95,11.95,000,11.63
2011-11-23,11.98,11.98,11.98,11.98,000,11.66
2011-11-22,12.25,12.25,12.25,12.25,000,11.92
2011-11-21,12.30,12.30,12.30,12.30,000,11.97
2011-11-18,12.53,12.53,12.53,12.53,000,12.20
2011-11-17,12.54,12.54,12.54,12.54,000,12.21
2011-11-16,12.75,12.75,12.75,12.75,000,12.41
2011-11-15,12.96,12.96,12.96,12.96,000,12.62
2011-11-14,12.90,12.90,12.90,12.90,000,12.56
2011-11-11,13.02,13.02,13.02,13.02,000,12.67
2011-11-10,12.78,12.78,12.78,12.78,000,12.44
2011-11-09,12.67,12.67,12.67,12.67,000,12.33
2011-11-08,13.15,13.15,13.15,13.15,000,12.80
2011-11-07,12.99,12.99,12.99,12.99,000,12.64
2011-11-04,12.91,12.91,12.91,12.91,000,12.57
2011-11-03,12.98,12.98,12.98,12.98,000,12.64
2011-11-02,12.74,12.74,12.74,12.74,000,12.40
2011-11-01,12.54,12.54,12.54,12.54,000,12.21
2011-10-31,12.90,12.90,12.90,12.90,000,12.56
2011-10-28,13.23,13.23,13.23,13.23,000,12.88
2011-10-27,13.23,13.23,13.23,13.23,000,12.88
2011-10-26,12.79,12.79,12.79,12.79,000,12.45
2011-10-25,12.65,12.65,12.65,12.65,000,12.31
2011-10-24,12.91,12.91,12.91,12.91,000,12.57
2011-10-21,12.75,12.75,12.75,12.75,000,12.41
2011-10-20,12.51,12.51,12.51,12.51,000,12.18
2011-10-19,12.45,12.45,12.45,12.45,000,12.12
2011-10-18,12.61,12.61,12.61,12.61,000,12.28
2011-10-17,12.36,12.36,12.36,12.36,000,12.03
2011-10-14,12.60,12.60,12.60,12.60,000,12.27
2011-10-13,12.39,12.39,12.39,12.39,000,12.06
2011-10-12,12.42,12.42,12.42,12.42,000,12.09
2011-10-11,12.30,12.30,12.30,12.30,000,11.97
2011-10-10,12.30,12.30,12.30,12.30,000,11.97
2011-10-07,11.89,11.89,11.89,11.89,000,11.57
2011-10-06,11.99,11.99,11.99,11.99,000,11.67
2011-10-05,11.77,11.77,11.77,11.77,000,11.46
2011-10-04,11.55,11.55,11.55,11.55,000,11.24
2011-10-03,11.30,11.30,11.30,11.30,000,11.00
2011-09-30,11.63,11.63,11.63,11.63,000,11.32
2011-09-29,11.93,11.93,11.93,11.93,000,11.61
2011-09-28,11.84,11.84,11.84,11.84,000,11.53
2011-09-27,12.08,12.08,12.08,12.08,000,11.76
2011-09-26,11.95,11.95,11.95,11.95,000,11.63
2011-09-23,11.73,11.73,11.73,11.73,000,11.37
2011-09-22,11.65,11.65,11.65,11.65,000,11.30
2011-09-21,12.04,12.04,12.04,12.04,000,11.67
2011-09-20,12.41,12.41,12.41,12.41,000,12.03
2011-09-19,12.43,12.43,12.43,12.43,000,12.05
2011-09-16,12.55,12.55,12.55,12.55,000,12.17
2011-09-15,12.48,12.48,12.48,12.48,000,12.10
2011-09-14,12.27,12.27,12.27,12.27,000,11.90
2011-09-13,12.10,12.10,12.10,12.10,000,11.73
2011-09-12,11.99,11.99,11.99,11.99,000,11.63
2011-09-09,11.91,11.91,11.91,11.91,000,11.55
2011-09-08,12.24,12.24,12.24,12.24,000,11.87
2011-09-07,12.37,12.37,12.37,12.37,000,11.99
2011-09-06,12.02,12.02,12.02,12.02,000,11.65
2011-09-02,12.11,12.11,12.11,12.11,000,11.74
2011-09-01,12.42,12.42,12.42,12.42,000,12.04
2011-08-31,12.57,12.57,12.57,12.57,000,12.19
2011-08-30,12.51,12.51,12.51,12.51,000,12.13
2011-08-29,12.48,12.48,12.48,12.48,000,12.10
2011-08-26,12.13,12.13,12.13,12.13,000,11.76
2011-08-25,11.95,11.95,11.95,11.95,000,11.59
2011-08-24,12.14,12.14,12.14,12.14,000,11.77
2011-08-23,11.98,11.98,11.98,11.98,000,11.62
