Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,17.64,17.64,17.64,17.64,000,17.64
2012-05-24,17.66,17.66,17.66,17.66,000,17.66
2012-05-23,17.63,17.63,17.63,17.63,000,17.63
2012-05-22,17.66,17.66,17.66,17.66,000,17.66
2012-05-21,17.63,17.63,17.63,17.63,000,17.63
2012-05-18,17.39,17.39,17.39,17.39,000,17.39
2012-05-17,17.53,17.53,17.53,17.53,000,17.53
2012-05-16,17.76,17.76,17.76,17.76,000,17.76
2012-05-15,17.84,17.84,17.84,17.84,000,17.84
2012-05-14,17.91,17.91,17.91,17.91,000,17.91
2012-05-11,18.09,18.09,18.09,18.09,000,18.09
2012-05-10,18.14,18.14,18.14,18.14,000,18.14
2012-05-09,18.09,18.09,18.09,18.09,000,18.09
2012-05-08,18.19,18.19,18.19,18.19,000,18.19
2012-05-07,18.24,18.24,18.24,18.24,000,18.24
2012-05-04,18.25,18.25,18.25,18.25,000,18.25
2012-05-03,18.48,18.48,18.48,18.48,000,18.48
2012-05-02,18.59,18.59,18.59,18.59,000,18.59
2012-05-01,18.60,18.60,18.60,18.60,000,18.60
2012-04-30,18.54,18.54,18.54,18.54,000,18.54
2012-04-27,18.63,18.63,18.63,18.63,000,18.63
2012-04-26,18.59,18.59,18.59,18.59,000,18.59
2012-04-25,18.51,18.51,18.51,18.51,000,18.51
2012-04-24,18.33,18.33,18.33,18.33,000,18.33
2012-04-23,18.28,18.28,18.28,18.28,000,18.28
2012-04-20,18.43,18.43,18.43,18.43,000,18.43
2012-04-19,18.39,18.39,18.39,18.39,000,18.39
2012-04-18,18.44,18.44,18.44,18.44,000,18.44
2012-04-17,18.49,18.49,18.49,18.49,000,18.49
2012-04-16,18.29,18.29,18.29,18.29,000,18.29
2012-04-13,18.31,18.31,18.31,18.31,000,18.31
2012-04-12,18.48,18.48,18.48,18.48,000,18.48
2012-04-11,18.28,18.28,18.28,18.28,000,18.28
2012-04-10,18.18,18.18,18.18,18.18,000,18.18
2012-04-09,18.41,18.41,18.41,18.41,000,18.41
2012-04-05,18.56,18.56,18.56,18.56,000,18.56
2012-04-04,18.56,18.56,18.56,18.56,000,18.56
2012-04-03,18.73,18.73,18.73,18.73,000,18.73
2012-04-02,18.80,18.80,18.80,18.80,000,18.80
2012-03-30,18.66,18.66,18.66,18.66,000,18.66
2012-03-29,18.62,18.62,18.62,18.62,000,18.62
2012-03-28,18.66,18.66,18.66,18.66,000,18.66
2012-03-27,18.74,18.74,18.74,18.74,000,18.74
2012-03-26,18.76,18.76,18.76,18.76,000,18.76
2012-03-23,18.57,18.57,18.57,18.57,000,18.57
2012-03-22,18.49,18.49,18.49,18.49,000,18.49
2012-03-21,18.60,18.60,18.60,18.60,000,18.60
2012-03-20,18.61,18.61,18.61,18.61,000,18.61
2012-03-19,18.69,18.69,18.69,18.69,000,18.69
2012-03-16,18.64,18.64,18.64,18.64,000,18.64
2012-03-15,18.62,18.62,18.62,18.62,000,18.62
2012-03-14,18.53,18.53,18.53,18.53,000,18.53
2012-03-13,18.56,18.56,18.56,18.56,000,18.56
2012-03-12,18.32,18.32,18.32,18.32,000,18.32
2012-03-09,18.35,18.35,18.35,18.35,000,18.35
2012-03-08,18.26,18.26,18.26,18.26,000,18.26
2012-03-07,18.07,18.07,18.07,18.07,000,18.07
2012-03-06,17.97,17.97,17.97,17.97,000,17.97
2012-03-05,18.24,18.24,18.24,18.24,000,18.24
2012-03-02,18.31,18.31,18.31,18.31,000,18.31
2012-03-01,18.40,18.40,18.40,18.40,000,18.40
2012-02-29,18.30,18.30,18.30,18.30,000,18.30
2012-02-28,18.41,18.41,18.41,18.41,000,18.38
2012-02-27,18.36,18.36,18.36,18.36,000,18.33
2012-02-24,18.35,18.35,18.35,18.35,000,18.32
2012-02-23,18.33,18.33,18.33,18.33,000,18.30
2012-02-22,18.24,18.24,18.24,18.24,000,18.21
2012-02-21,18.28,18.28,18.28,18.28,000,18.25
2012-02-17,18.30,18.30,18.30,18.30,000,18.27
2012-02-16,18.31,18.31,18.31,18.31,000,18.28
2012-02-15,18.17,18.17,18.17,18.17,000,18.14
2012-02-14,18.22,18.22,18.22,18.22,000,18.19
2012-02-13,18.25,18.25,18.25,18.25,000,18.22
2012-02-10,18.11,18.11,18.11,18.11,000,18.08
2012-02-09,18.23,18.23,18.23,18.23,000,18.20
2012-02-08,18.23,18.23,18.23,18.23,000,18.20
2012-02-07,18.18,18.18,18.18,18.18,000,18.15
2012-02-06,18.16,18.16,18.16,18.16,000,18.13
2012-02-03,18.18,18.18,18.18,18.18,000,18.15
2012-02-02,17.96,17.96,17.96,17.96,000,17.93
2012-02-01,17.94,17.94,17.94,17.94,000,17.91
2012-01-31,17.76,17.76,17.76,17.76,000,17.73
2012-01-30,17.73,17.73,17.73,17.73,000,17.70
2012-01-27,17.80,17.80,17.80,17.80,000,17.77
2012-01-26,17.77,17.77,17.77,17.77,000,17.74
2012-01-25,17.82,17.82,17.82,17.82,000,17.79
2012-01-24,17.70,17.70,17.70,17.70,000,17.67
2012-01-23,17.69,17.69,17.69,17.69,000,17.66
2012-01-20,17.68,17.68,17.68,17.68,000,17.65
2012-01-19,17.69,17.69,17.69,17.69,000,17.66
2012-01-18,17.63,17.63,17.63,17.63,000,17.60
2012-01-17,17.48,17.48,17.48,17.48,000,17.45
2012-01-13,17.40,17.40,17.40,17.40,000,17.37
2012-01-12,17.45,17.45,17.45,17.45,000,17.42
2012-01-11,17.42,17.42,17.42,17.42,000,17.39
2012-01-10,17.41,17.41,17.41,17.41,000,17.38
2012-01-09,17.25,17.25,17.25,17.25,000,17.22
2012-01-06,17.23,17.23,17.23,17.23,000,17.20
2012-01-05,17.24,17.24,17.24,17.24,000,17.21
2012-01-04,17.20,17.20,17.20,17.20,000,17.17
2012-01-03,16.98,16.98,16.98,16.98,000,16.95
2011-12-30,16.98,16.98,16.98,16.98,000,16.95
2011-12-29,17.01,17.01,17.01,17.01,000,16.98
2011-12-28,16.92,16.92,16.92,16.92,000,16.83
2011-12-27,17.08,17.08,17.08,17.08,000,16.99
2011-12-23,17.07,17.07,17.07,17.07,000,16.98
2011-12-22,16.98,16.98,16.98,16.98,000,16.89
2011-12-21,16.88,16.88,16.88,16.88,000,16.79
2011-12-20,16.85,16.85,16.85,16.85,000,16.76
2011-12-19,16.44,16.44,16.44,16.44,000,16.36
2011-12-16,16.61,16.61,16.61,16.61,000,16.52
2011-12-15,16.56,16.56,16.56,16.56,000,16.47
2011-12-14,16.51,16.51,16.51,16.51,000,16.42
2011-12-13,16.69,16.69,16.69,16.69,000,16.60
2011-12-12,16.84,16.84,16.84,16.84,000,16.75
2011-12-09,17.07,17.07,17.07,17.07,000,16.98
2011-12-08,16.83,16.83,16.83,16.83,000,16.74
2011-12-07,17.15,17.15,17.15,17.15,000,17.06
2011-12-06,17.12,17.12,17.12,17.12,000,17.03
2011-12-05,17.17,17.17,17.17,17.17,000,17.08
2011-12-02,17.00,17.00,17.00,17.00,000,16.91
2011-12-01,16.97,16.97,16.97,16.97,000,16.88
2011-11-30,16.98,16.98,16.98,16.98,000,16.89
2011-11-29,16.45,16.45,16.45,16.45,000,16.37
2011-11-28,16.43,16.43,16.43,16.43,000,16.35
2011-11-25,16.02,16.02,16.02,16.02,000,15.94
2011-11-23,16.10,16.10,16.10,16.10,000,16.02
2011-11-22,16.39,16.39,16.39,16.39,000,16.31
2011-11-21,16.43,16.43,16.43,16.43,000,16.35
2011-11-18,16.68,16.68,16.68,16.68,000,16.59
2011-11-17,16.70,16.70,16.70,16.70,000,16.61
2011-11-16,16.92,16.92,16.92,16.92,000,16.83
2011-11-15,17.14,17.14,17.14,17.14,000,17.03
2011-11-14,17.08,17.08,17.08,17.08,000,16.97
2011-11-11,17.19,17.19,17.19,17.19,000,17.08
2011-11-10,16.89,16.89,16.89,16.89,000,16.79
2011-11-09,16.89,16.89,16.89,16.89,000,16.79
2011-11-08,17.37,17.37,17.37,17.37,000,17.26
2011-11-07,17.24,17.24,17.24,17.24,000,17.13
2011-11-04,17.20,17.20,17.20,17.20,000,17.09
2011-11-03,17.24,17.24,17.24,17.24,000,17.13
2011-11-02,17.02,17.02,17.02,17.02,000,16.91
2011-11-01,16.86,16.86,16.86,16.86,000,16.76
2011-10-31,17.13,17.13,17.13,17.13,000,17.02
2011-10-28,17.39,17.39,17.39,17.39,000,17.28
2011-10-27,17.38,17.38,17.38,17.38,000,17.27
2011-10-26,17.08,17.08,17.08,17.08,000,16.97
2011-10-25,16.98,16.98,16.98,16.98,000,16.87
2011-10-24,17.13,17.13,17.13,17.13,000,17.02
2011-10-21,16.99,16.99,16.99,16.99,000,16.88
2011-10-20,16.82,16.82,16.82,16.82,000,16.72
2011-10-19,16.78,16.78,16.78,16.78,000,16.68
2011-10-18,16.91,16.91,16.91,16.91,000,16.81
2011-10-17,16.73,16.73,16.73,16.73,000,16.63
2011-10-14,16.90,16.90,16.90,16.90,000,16.80
2011-10-13,16.75,16.75,16.75,16.75,000,16.65
2011-10-12,16.74,16.74,16.74,16.74,000,16.64
2011-10-11,16.67,16.67,16.67,16.67,000,16.57
2011-10-10,16.68,16.68,16.68,16.68,000,16.58
2011-10-07,16.36,16.36,16.36,16.36,000,16.26
2011-10-06,16.44,16.44,16.44,16.44,000,16.34
2011-10-05,16.29,16.29,16.29,16.29,000,16.19
2011-10-04,16.17,16.17,16.17,16.17,000,16.07
2011-10-03,15.98,15.98,15.98,15.98,000,15.88
2011-09-30,16.27,16.27,16.27,16.27,000,16.17
2011-09-29,16.50,16.50,16.50,16.50,000,16.40
2011-09-28,16.41,16.41,16.41,16.41,000,16.31
