Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,20.57,20.57,20.57,20.57,000,20.57
2012-05-24,20.49,20.49,20.49,20.49,000,20.49
2012-05-23,20.42,20.42,20.42,20.42,000,20.42
2012-05-22,20.38,20.38,20.38,20.38,000,20.38
2012-05-21,20.33,20.33,20.33,20.33,000,20.33
2012-05-18,20.09,20.09,20.09,20.09,000,20.09
2012-05-17,20.23,20.23,20.23,20.23,000,20.23
2012-05-16,20.54,20.54,20.54,20.54,000,20.54
2012-05-15,20.82,20.82,20.82,20.82,000,20.82
2012-05-14,21.00,21.00,21.00,21.00,000,21.00
2012-05-11,21.25,21.25,21.25,21.25,000,21.25
2012-05-10,21.41,21.41,21.41,21.41,000,21.41
2012-05-09,21.32,21.32,21.32,21.32,000,21.32
2012-05-08,21.44,21.44,21.44,21.44,000,21.44
2012-05-07,21.54,21.54,21.54,21.54,000,21.54
2012-05-04,21.55,21.55,21.55,21.55,000,21.55
2012-05-03,21.94,21.94,21.94,21.94,000,21.94
2012-05-02,22.29,22.29,22.29,22.29,000,22.29
2012-05-01,22.41,22.41,22.41,22.41,000,22.41
2012-04-30,22.27,22.27,22.27,22.27,000,22.27
2012-04-27,22.41,22.41,22.41,22.41,000,22.41
2012-04-26,22.37,22.37,22.37,22.37,000,22.37
2012-04-25,22.20,22.20,22.20,22.20,000,22.20
2012-04-24,21.92,21.92,21.92,21.92,000,21.92
2012-04-23,21.76,21.76,21.76,21.76,000,21.76
2012-04-20,21.94,21.94,21.94,21.94,000,21.94
2012-04-19,21.98,21.98,21.98,21.98,000,21.98
2012-04-18,21.99,21.99,21.99,21.99,000,21.99
2012-04-17,22.15,22.15,22.15,22.15,000,22.15
2012-04-16,21.81,21.81,21.81,21.81,000,21.81
2012-04-13,21.83,21.83,21.83,21.83,000,21.83
2012-04-12,22.18,22.18,22.18,22.18,000,22.18
2012-04-11,21.80,21.80,21.80,21.80,000,21.80
2012-04-10,21.58,21.58,21.58,21.58,000,21.58
2012-04-09,21.98,21.98,21.98,21.98,000,21.98
2012-04-05,22.21,22.21,22.21,22.21,000,22.21
2012-04-04,22.35,22.35,22.35,22.35,000,22.35
2012-04-03,22.53,22.53,22.53,22.53,000,22.53
2012-04-02,22.73,22.73,22.73,22.73,000,22.73
2012-03-30,22.61,22.61,22.61,22.61,000,22.61
2012-03-29,22.56,22.56,22.56,22.56,000,22.56
2012-03-28,22.66,22.66,22.66,22.66,000,22.66
2012-03-27,22.75,22.75,22.75,22.75,000,22.75
2012-03-26,22.87,22.87,22.87,22.87,000,22.87
2012-03-23,22.65,22.65,22.65,22.65,000,22.60
2012-03-22,22.54,22.54,22.54,22.54,000,22.49
