Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,11.40,11.40,11.40,11.40,000,11.40
2012-05-24,11.40,11.40,11.40,11.40,000,11.40
2012-05-23,11.40,11.40,11.40,11.40,000,11.40
2012-05-22,11.41,11.41,11.41,11.41,000,11.41
2012-05-21,11.42,11.42,11.42,11.42,000,11.42
2012-05-18,11.43,11.43,11.43,11.43,000,11.43
2012-05-17,11.45,11.45,11.45,11.45,000,11.45
2012-05-16,11.45,11.45,11.45,11.45,000,11.45
2012-05-15,11.47,11.47,11.47,11.47,000,11.47
2012-05-14,11.48,11.48,11.48,11.48,000,11.48
2012-05-11,11.47,11.47,11.47,11.47,000,11.47
2012-05-10,11.47,11.47,11.47,11.47,000,11.47
2012-05-09,11.47,11.47,11.47,11.47,000,11.47
2012-05-08,11.48,11.48,11.48,11.48,000,11.48
2012-05-07,11.48,11.48,11.48,11.48,000,11.48
2012-05-04,11.49,11.49,11.49,11.49,000,11.49
2012-05-03,11.47,11.47,11.47,11.47,000,11.47
2012-05-02,11.47,11.47,11.47,11.47,000,11.47
2012-05-01,11.46,11.46,11.46,11.46,000,11.46
2012-04-30,11.46,11.46,11.46,11.46,000,11.46
2012-04-27,11.45,11.45,11.45,11.45,000,11.42
2012-04-26,11.44,11.44,11.44,11.44,000,11.41
2012-04-25,11.43,11.43,11.43,11.43,000,11.40
2012-04-24,11.43,11.43,11.43,11.43,000,11.40
2012-04-23,11.44,11.44,11.44,11.44,000,11.41
2012-04-20,11.43,11.43,11.43,11.43,000,11.40
2012-04-19,11.43,11.43,11.43,11.43,000,11.40
2012-04-18,11.43,11.43,11.43,11.43,000,11.40
2012-04-17,11.42,11.42,11.42,11.42,000,11.39
2012-04-16,11.42,11.42,11.42,11.42,000,11.39
2012-04-13,11.42,11.42,11.42,11.42,000,11.39
2012-04-12,11.40,11.40,11.40,11.40,000,11.37
2012-04-11,11.41,11.41,11.41,11.41,000,11.38
2012-04-10,11.42,11.42,11.42,11.42,000,11.39
2012-04-09,11.41,11.41,11.41,11.41,000,11.38
2012-04-05,11.39,11.39,11.39,11.39,000,11.36
2012-04-04,11.38,11.38,11.38,11.38,000,11.35
2012-04-03,11.36,11.36,11.36,11.36,000,11.33
2012-04-02,11.40,11.40,11.40,11.40,000,11.37
2012-03-30,11.38,11.38,11.38,11.38,000,11.35
2012-03-29,11.40,11.40,11.40,11.40,000,11.34
2012-03-28,11.39,11.39,11.39,11.39,000,11.33
2012-03-27,11.40,11.40,11.40,11.40,000,11.34
2012-03-26,11.37,11.37,11.37,11.37,000,11.31
2012-03-23,11.38,11.38,11.38,11.38,000,11.32
2012-03-22,11.36,11.36,11.36,11.36,000,11.30
2012-03-21,11.37,11.37,11.37,11.37,000,11.31
2012-03-20,11.34,11.34,11.34,11.34,000,11.28
2012-03-19,11.34,11.34,11.34,11.34,000,11.28
2012-03-16,11.37,11.37,11.37,11.37,000,11.31
