Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,8.99,8.99,8.99,8.99,000,8.99
2012-05-24,9.00,9.00,9.00,9.00,000,9.00
2012-05-23,8.99,8.99,8.99,8.99,000,8.99
2012-05-22,8.94,8.94,8.94,8.94,000,8.94
2012-05-21,8.95,8.95,8.95,8.95,000,8.95
2012-05-18,8.66,8.66,8.66,8.66,000,8.66
2012-05-17,8.79,8.79,8.79,8.79,000,8.79
2012-05-16,9.07,9.07,9.07,9.07,000,9.07
2012-05-15,9.18,9.18,9.18,9.18,000,9.18
2012-05-14,9.23,9.23,9.23,9.23,000,9.23
2012-05-11,9.37,9.37,9.37,9.37,000,9.37
2012-05-10,9.41,9.41,9.41,9.41,000,9.41
2012-05-09,9.37,9.37,9.37,9.37,000,9.37
2012-05-08,9.46,9.46,9.46,9.46,000,9.46
2012-05-07,9.55,9.55,9.55,9.55,000,9.55
2012-05-04,9.55,9.55,9.55,9.55,000,9.55
2012-05-03,9.72,9.72,9.72,9.72,000,9.72
2012-05-02,9.86,9.86,9.86,9.86,000,9.86
2012-05-01,9.82,9.82,9.82,9.82,000,9.82
2012-04-30,9.83,9.83,9.83,9.83,000,9.83
2012-04-27,9.95,9.95,9.95,9.95,000,9.95
2012-04-26,9.89,9.89,9.89,9.89,000,9.89
2012-04-25,9.86,9.86,9.86,9.86,000,9.86
2012-04-24,9.69,9.69,9.69,9.69,000,9.69
2012-04-23,9.62,9.62,9.62,9.62,000,9.62
2012-04-20,9.85,9.85,9.85,9.85,000,9.85
2012-04-19,9.83,9.83,9.83,9.83,000,9.83
2012-04-18,9.85,9.85,9.85,9.85,000,9.85
2012-04-17,9.98,9.98,9.98,9.98,000,9.98
2012-04-16,9.84,9.84,9.84,9.84,000,9.84
2012-04-13,9.92,9.92,9.92,9.92,000,9.92
2012-04-12,10.10,10.10,10.10,10.10,000,10.10
2012-04-11,9.87,9.87,9.87,9.87,000,9.87
2012-04-10,9.68,9.68,9.68,9.68,000,9.68
2012-04-09,9.98,9.98,9.98,9.98,000,9.98
2012-04-05,10.22,10.22,10.22,10.22,000,10.22
2012-04-04,10.28,10.28,10.28,10.28,000,10.28
2012-04-03,10.51,10.51,10.51,10.51,000,10.51
2012-04-02,10.60,10.60,10.60,10.60,000,10.60
2012-03-30,10.57,10.57,10.57,10.57,000,10.57
2012-03-29,10.59,10.59,10.59,10.59,000,10.59
2012-03-28,10.65,10.65,10.65,10.65,000,10.65
2012-03-27,10.83,10.83,10.83,10.83,000,10.83
2012-03-26,10.88,10.88,10.88,10.88,000,10.88
2012-03-23,10.65,10.65,10.65,10.65,000,10.65
2012-03-22,10.57,10.57,10.57,10.57,000,10.57
2012-03-21,10.70,10.70,10.70,10.70,000,10.70
2012-03-20,10.72,10.72,10.72,10.72,000,10.72
2012-03-19,10.82,10.82,10.82,10.82,000,10.82
2012-03-16,10.69,10.69,10.69,10.69,000,10.69
2012-03-15,10.66,10.66,10.66,10.66,000,10.66
2012-03-14,10.55,10.55,10.55,10.55,000,10.55
2012-03-13,10.57,10.57,10.57,10.57,000,10.57
2012-03-12,10.35,10.35,10.35,10.35,000,10.35
2012-03-09,10.42,10.42,10.42,10.42,000,10.42
2012-03-08,10.26,10.26,10.26,10.26,000,10.26
2012-03-07,10.06,10.06,10.06,10.06,000,10.06
2012-03-06,9.92,9.92,9.92,9.92,000,9.92
2012-03-05,10.22,10.22,10.22,10.22,000,10.22
2012-03-02,10.29,10.29,10.29,10.29,000,10.29
2012-03-01,10.37,10.37,10.37,10.37,000,10.37
2012-02-29,10.28,10.28,10.28,10.28,000,10.28
2012-02-28,10.46,10.46,10.46,10.46,000,10.46
2012-02-27,10.52,10.52,10.52,10.52,000,10.52
2012-02-24,10.50,10.50,10.50,10.50,000,10.50
2012-02-23,10.54,10.54,10.54,10.54,000,10.54
2012-02-22,10.44,10.44,10.44,10.44,000,10.44
2012-02-21,10.54,10.54,10.54,10.54,000,10.54
2012-02-17,10.48,10.48,10.48,10.48,000,10.48
2012-02-16,10.44,10.44,10.44,10.44,000,10.44
2012-02-15,10.24,10.24,10.24,10.24,000,10.24
2012-02-14,10.38,10.38,10.38,10.38,000,10.38
2012-02-13,10.43,10.43,10.43,10.43,000,10.43
2012-02-10,10.29,10.29,10.29,10.29,000,10.29
2012-02-09,10.49,10.49,10.49,10.49,000,10.49
2012-02-08,10.48,10.48,10.48,10.48,000,10.48
2012-02-07,10.45,10.45,10.45,10.45,000,10.45
2012-02-06,10.43,10.43,10.43,10.43,000,10.43
2012-02-03,10.43,10.43,10.43,10.43,000,10.43
2012-02-02,10.14,10.14,10.14,10.14,000,10.14
2012-02-01,9.98,9.98,9.98,9.98,000,9.98
