Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,5.04,5.04,5.04,5.04,000,5.04
2012-05-24,5.02,5.02,5.02,5.02,000,5.02
2012-05-23,5.03,5.03,5.03,5.03,000,5.03
2012-05-22,5.03,5.03,5.03,5.03,000,5.03
2012-05-21,5.03,5.03,5.03,5.03,000,5.03
2012-05-18,4.93,4.93,4.93,4.93,000,4.93
2012-05-17,4.99,4.99,4.99,4.99,000,4.99
2012-05-16,5.11,5.11,5.11,5.11,000,5.11
2012-05-15,5.16,5.16,5.16,5.16,000,5.16
2012-05-14,5.17,5.17,5.17,5.17,000,5.17
2012-05-11,5.25,5.25,5.25,5.25,000,5.25
2012-05-10,5.24,5.24,5.24,5.24,000,5.24
2012-05-09,5.23,5.23,5.23,5.23,000,5.23
2012-05-08,5.30,5.30,5.30,5.30,000,5.30
2012-05-07,5.33,5.33,5.33,5.33,000,5.33
2012-05-04,5.32,5.32,5.32,5.32,000,5.32
2012-05-03,5.40,5.40,5.40,5.40,000,5.40
2012-05-02,5.46,5.46,5.46,5.46,000,5.46
2012-05-01,5.43,5.43,5.43,5.43,000,5.43
2012-04-30,5.42,5.42,5.42,5.42,000,5.42
2012-04-27,5.46,5.46,5.46,5.46,000,5.46
2012-04-26,5.44,5.44,5.44,5.44,000,5.44
2012-04-25,5.41,5.41,5.41,5.41,000,5.41
2012-04-24,5.34,5.34,5.34,5.34,000,5.34
2012-04-23,5.34,5.34,5.34,5.34,000,5.34
2012-04-20,5.40,5.40,5.40,5.40,000,5.40
2012-04-19,5.39,5.39,5.39,5.39,000,5.39
2012-04-18,5.40,5.40,5.40,5.40,000,5.40
2012-04-17,5.42,5.42,5.42,5.42,000,5.42
2012-04-16,5.34,5.34,5.34,5.34,000,5.34
2012-04-13,5.36,5.36,5.36,5.36,000,5.36
2012-04-12,5.43,5.43,5.43,5.43,000,5.43
2012-04-11,5.35,5.35,5.35,5.35,000,5.35
2012-04-10,5.31,5.31,5.31,5.31,000,5.31
2012-04-09,5.41,5.41,5.41,5.41,000,5.41
2012-04-05,5.48,5.48,5.48,5.48,000,5.48
2012-04-04,5.48,5.48,5.48,5.48,000,5.48
2012-04-03,5.56,5.56,5.56,5.56,000,5.56
2012-04-02,5.57,5.57,5.57,5.57,000,5.57
2012-03-30,5.52,5.52,5.52,5.52,000,5.52
2012-03-29,5.50,5.50,5.50,5.50,000,5.50
2012-03-28,5.51,5.51,5.51,5.51,000,5.51
2012-03-27,5.54,5.54,5.54,5.54,000,5.54
2012-03-26,5.55,5.55,5.55,5.55,000,5.55
2012-03-23,5.46,5.46,5.46,5.46,000,5.46
2012-03-22,5.44,5.44,5.44,5.44,000,5.44
2012-03-21,5.48,5.48,5.48,5.48,000,5.48
2012-03-20,5.47,5.47,5.47,5.47,000,5.47
2012-03-19,5.51,5.51,5.51,5.51,000,5.51
2012-03-16,5.49,5.49,5.49,5.49,000,5.49
2012-03-15,5.48,5.48,5.48,5.48,000,5.48
2012-03-14,5.45,5.45,5.45,5.45,000,5.45
2012-03-13,5.46,5.46,5.46,5.46,000,5.46
2012-03-12,5.35,5.35,5.35,5.35,000,5.35
2012-03-09,5.39,5.39,5.39,5.39,000,5.39
2012-03-08,5.36,5.36,5.36,5.36,000,5.36
2012-03-07,5.27,5.27,5.27,5.27,000,5.27
2012-03-06,5.21,5.21,5.21,5.21,000,5.21
2012-03-05,5.31,5.31,5.31,5.31,000,5.31
2012-03-02,5.35,5.35,5.35,5.35,000,5.35
2012-03-01,5.37,5.37,5.37,5.37,000,5.37
2012-02-29,5.34,5.34,5.34,5.34,000,5.34
2012-02-28,5.37,5.37,5.37,5.37,000,5.37
2012-02-27,5.34,5.34,5.34,5.34,000,5.34
2012-02-24,5.33,5.33,5.33,5.33,000,5.33
2012-02-23,5.33,5.33,5.33,5.33,000,5.33
2012-02-22,5.28,5.28,5.28,5.28,000,5.28
2012-02-21,5.28,5.28,5.28,5.28,000,5.28
2012-02-17,5.29,5.29,5.29,5.29,000,5.29
2012-02-16,5.31,5.31,5.31,5.31,000,5.31
2012-02-15,5.23,5.23,5.23,5.23,000,5.23
2012-02-14,5.25,5.25,5.25,5.25,000,5.25
2012-02-13,5.26,5.26,5.26,5.26,000,5.26
2012-02-10,5.20,5.20,5.20,5.20,000,5.20
2012-02-09,5.25,5.25,5.25,5.25,000,5.25
2012-02-08,5.23,5.23,5.23,5.23,000,5.23
2012-02-07,5.21,5.21,5.21,5.21,000,5.21
2012-02-06,5.22,5.22,5.22,5.22,000,5.22
2012-02-03,5.23,5.23,5.23,5.23,000,5.23
2012-02-02,5.14,5.14,5.14,5.14,000,5.14
2012-02-01,5.10,5.10,5.10,5.10,000,5.10
2012-01-31,5.02,5.02,5.02,5.02,000,5.02
2012-01-30,5.00,5.00,5.00,5.00,000,5.00
2012-01-27,5.03,5.03,5.03,5.03,000,5.03
2012-01-26,5.02,5.02,5.02,5.02,000,5.02
2012-01-25,5.03,5.03,5.03,5.03,000,5.03
2012-01-24,4.97,4.97,4.97,4.97,000,4.97
2012-01-23,4.96,4.96,4.96,4.96,000,4.96
2012-01-20,4.96,4.96,4.96,4.96,000,4.96
2012-01-19,4.98,4.98,4.98,4.98,000,4.98
2012-01-18,4.95,4.95,4.95,4.95,000,4.95
2012-01-17,4.85,4.85,4.85,4.85,000,4.85
2012-01-13,4.83,4.83,4.83,4.83,000,4.83
2012-01-12,4.85,4.85,4.85,4.85,000,4.85
2012-01-11,4.82,4.82,4.82,4.82,000,4.82
2012-01-10,4.81,4.81,4.81,4.81,000,4.81
2012-01-09,4.73,4.73,4.73,4.73,000,4.73
2012-01-06,4.70,4.70,4.70,4.70,000,4.70
2012-01-05,4.72,4.72,4.72,4.72,000,4.72
2012-01-04,4.70,4.70,4.70,4.70,000,4.70
2012-01-03,4.73,4.73,4.73,4.73,000,4.73
2011-12-30,4.65,4.65,4.65,4.65,000,4.65
2011-12-29,4.65,4.65,4.65,4.65,000,4.65
2011-12-28,4.59,4.59,4.59,4.59,000,4.59
2011-12-27,4.66,4.66,4.66,4.66,000,4.66
2011-12-23,4.66,4.66,4.66,4.66,000,4.66
2011-12-22,4.64,4.64,4.64,4.64,000,4.64
2011-12-21,4.60,4.60,4.60,4.60,000,4.60
2011-12-20,4.61,4.61,4.61,4.61,000,4.61
2011-12-19,4.46,4.46,4.46,4.46,000,4.46
2011-12-16,4.52,4.52,4.52,4.52,000,4.52
2011-12-15,4.49,4.49,4.49,4.49,000,4.49
