Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,12.47,12.47,12.47,12.47,000,12.47
2012-05-24,12.47,12.47,12.47,12.47,000,12.47
2012-05-23,12.41,12.41,12.41,12.41,000,12.41
2012-05-22,12.37,12.37,12.37,12.37,000,12.37
2012-05-21,12.33,12.33,12.33,12.33,000,12.33
2012-05-18,12.13,12.13,12.13,12.13,000,12.13
2012-05-17,12.22,12.22,12.22,12.22,000,12.22
2012-05-16,12.47,12.47,12.47,12.47,000,12.47
2012-05-15,12.56,12.56,12.56,12.56,000,12.56
2012-05-14,12.61,12.61,12.61,12.61,000,12.61
2012-05-11,12.77,12.77,12.77,12.77,000,12.77
2012-05-10,12.84,12.84,12.84,12.84,000,12.84
2012-05-09,12.79,12.79,12.79,12.79,000,12.79
2012-05-08,12.87,12.87,12.87,12.87,000,12.87
2012-05-07,12.92,12.92,12.92,12.92,000,12.92
2012-05-04,12.93,12.93,12.93,12.93,000,12.93
2012-05-03,13.13,13.13,13.13,13.13,000,13.13
2012-05-02,13.31,13.31,13.31,13.31,000,13.31
2012-05-01,13.31,13.31,13.31,13.31,000,13.31
2012-04-30,13.24,13.24,13.24,13.24,000,13.24
2012-04-27,13.34,13.34,13.34,13.34,000,13.34
2012-04-26,13.30,13.30,13.30,13.30,000,13.30
2012-04-25,13.19,13.19,13.19,13.19,000,13.19
2012-04-24,13.07,13.07,13.07,13.07,000,13.07
2012-04-23,13.06,13.06,13.06,13.06,000,13.06
2012-04-20,13.21,13.21,13.21,13.21,000,13.21
2012-04-19,13.19,13.19,13.19,13.19,000,13.19
2012-04-18,13.24,13.24,13.24,13.24,000,13.24
2012-04-17,13.28,13.28,13.28,13.28,000,13.28
2012-04-16,13.10,13.10,13.10,13.10,000,13.10
2012-04-13,13.11,13.11,13.11,13.11,000,13.11
2012-04-12,13.25,13.25,13.25,13.25,000,13.25
2012-04-11,13.04,13.04,13.04,13.04,000,13.04
2012-04-10,12.89,12.89,12.89,12.89,000,12.89
2012-04-09,13.15,13.15,13.15,13.15,000,13.15
2012-04-05,13.31,13.31,13.31,13.31,000,13.31
2012-04-04,13.32,13.32,13.32,13.32,000,13.32
2012-04-03,13.45,13.45,13.45,13.45,000,13.45
2012-04-02,13.50,13.50,13.50,13.50,000,13.50
2012-03-30,13.39,13.39,13.39,13.39,000,13.39
2012-03-29,13.35,13.35,13.35,13.35,000,13.35
2012-03-28,13.36,13.36,13.36,13.36,000,13.36
2012-03-27,13.43,13.43,13.43,13.43,000,13.43
2012-03-26,13.50,13.50,13.50,13.50,000,13.50
2012-03-23,13.31,13.31,13.31,13.31,000,13.31
2012-03-22,13.26,13.26,13.26,13.26,000,13.26
2012-03-21,13.36,13.36,13.36,13.36,000,13.36
2012-03-20,13.38,13.38,13.38,13.38,000,13.38
2012-03-19,13.45,13.45,13.45,13.45,000,13.45
2012-03-16,13.40,13.40,13.40,13.40,000,13.40
2012-03-15,13.42,13.42,13.42,13.42,000,13.42
2012-03-14,13.34,13.34,13.34,13.34,000,13.34
2012-03-13,13.37,13.37,13.37,13.37,000,13.37
2012-03-12,13.14,13.14,13.14,13.14,000,13.14
2012-03-09,13.18,13.18,13.18,13.18,000,13.18
2012-03-08,13.09,13.09,13.09,13.09,000,13.09
2012-03-07,12.92,12.92,12.92,12.92,000,12.92
2012-03-06,12.77,12.77,12.77,12.77,000,12.77
2012-03-05,13.01,13.01,13.01,13.01,000,13.01
2012-03-02,13.05,13.05,13.05,13.05,000,13.05
2012-03-01,13.11,13.11,13.11,13.11,000,13.11
2012-02-29,13.01,13.01,13.01,13.01,000,13.01
2012-02-28,13.08,13.08,13.08,13.08,000,13.08
2012-02-27,13.06,13.06,13.06,13.06,000,13.06
2012-02-24,13.01,13.01,13.01,13.01,000,13.01
2012-02-23,13.04,13.04,13.04,13.04,000,13.04
2012-02-22,13.00,13.00,13.00,13.00,000,13.00
2012-02-21,13.06,13.06,13.06,13.06,000,13.06
2012-02-17,13.09,13.09,13.09,13.09,000,13.09
2012-02-16,13.06,13.06,13.06,13.06,000,13.06
2012-02-15,12.91,12.91,12.91,12.91,000,12.91
2012-02-14,12.95,12.95,12.95,12.95,000,12.95
2012-02-13,12.93,12.93,12.93,12.93,000,12.93
2012-02-10,12.84,12.84,12.84,12.84,000,12.84
2012-02-09,12.93,12.93,12.93,12.93,000,12.93
2012-02-08,12.90,12.90,12.90,12.90,000,12.90
2012-02-07,12.87,12.87,12.87,12.87,000,12.87
2012-02-06,12.86,12.86,12.86,12.86,000,12.86
2012-02-03,12.88,12.88,12.88,12.88,000,12.88
2012-02-02,12.67,12.67,12.67,12.67,000,12.67
2012-02-01,12.64,12.64,12.64,12.64,000,12.64
2012-01-31,12.48,12.48,12.48,12.48,000,12.48
2012-01-30,12.49,12.49,12.49,12.49,000,12.49
2012-01-27,12.52,12.52,12.52,12.52,000,12.52
2012-01-26,12.50,12.50,12.50,12.50,000,12.50
2012-01-25,12.55,12.55,12.55,12.55,000,12.55
2012-01-24,12.55,12.55,12.55,12.55,000,12.55
2012-01-23,12.53,12.53,12.53,12.53,000,12.53
2012-01-20,12.52,12.52,12.52,12.52,000,12.52
2012-01-19,12.52,12.52,12.52,12.52,000,12.52
2012-01-18,12.45,12.45,12.45,12.45,000,12.45
2012-01-17,12.27,12.27,12.27,12.27,000,12.27
2012-01-13,12.21,12.21,12.21,12.21,000,12.21
2012-01-12,12.28,12.28,12.28,12.28,000,12.28
2012-01-11,12.24,12.24,12.24,12.24,000,12.24
2012-01-10,12.20,12.20,12.20,12.20,000,12.20
2012-01-09,12.08,12.08,12.08,12.08,000,12.08
2012-01-06,12.05,12.05,12.05,12.05,000,12.05
2012-01-05,12.07,12.07,12.07,12.07,000,12.07
2012-01-04,12.04,12.04,12.04,12.04,000,12.04
2012-01-03,12.05,12.05,12.05,12.05,000,12.05
2011-12-30,11.91,11.91,11.91,11.91,000,11.91
2011-12-29,11.97,11.97,11.97,11.97,000,11.97
2011-12-28,11.85,11.85,11.85,11.85,000,11.85
2011-12-27,12.00,12.00,12.00,12.00,000,12.00
2011-12-23,12.03,12.03,12.03,12.03,000,12.03
2011-12-22,11.91,11.91,11.91,11.91,000,11.91
2011-12-21,11.82,11.82,11.82,11.82,000,11.82
2011-12-20,11.78,11.78,11.78,11.78,000,11.78
2011-12-19,11.40,11.40,11.40,11.40,000,11.40
2011-12-16,11.59,11.59,11.59,11.59,000,11.59
2011-12-15,11.51,11.51,11.51,11.51,000,11.51
2011-12-14,11.45,11.45,11.45,11.45,000,11.45
2011-12-13,11.58,11.58,11.58,11.58,000,11.58
2011-12-12,11.75,11.75,11.75,11.75,000,11.75
2011-12-09,11.91,11.91,11.91,11.91,000,11.91
2011-12-08,11.70,11.70,11.70,11.70,000,11.70
2011-12-07,11.98,11.98,11.98,11.98,000,11.98
2011-12-06,11.94,11.94,11.94,11.94,000,11.94
2011-12-05,11.95,11.95,11.95,11.95,000,11.95
2011-12-02,11.83,11.83,11.83,11.83,000,11.83
2011-12-01,11.78,11.78,11.78,11.78,000,11.78
2011-11-30,11.83,11.83,11.83,11.83,000,11.83
2011-11-29,11.33,11.33,11.33,11.33,000,11.33
2011-11-28,11.28,11.28,11.28,11.28,000,11.28
2011-11-25,10.95,10.95,10.95,10.95,000,10.95
2011-11-23,10.97,10.97,10.97,10.97,000,10.97
2011-11-22,11.24,11.24,11.24,11.24,000,11.24
2011-11-21,11.29,11.29,11.29,11.29,000,11.29
2011-11-18,11.51,11.51,11.51,11.51,000,11.51
2011-11-17,11.49,11.49,11.49,11.49,000,11.49
2011-11-16,11.66,11.66,11.66,11.66,000,11.66
2011-11-15,11.92,11.92,11.92,11.92,000,11.92
2011-11-14,11.85,11.85,11.85,11.85,000,11.85
2011-11-11,11.96,11.96,11.96,11.96,000,11.96
2011-11-10,11.72,11.72,11.72,11.72,000,11.72
2011-11-09,11.65,11.65,11.65,11.65,000,11.65
2011-11-08,12.11,12.11,12.11,12.11,000,12.11
2011-11-07,11.97,11.97,11.97,11.97,000,11.97
2011-11-04,11.93,11.93,11.93,11.93,000,11.93
2011-11-03,11.97,11.97,11.97,11.97,000,11.97
2011-11-02,11.75,11.75,11.75,11.75,000,11.75
2011-11-01,11.54,11.54,11.54,11.54,000,11.54
2011-10-31,11.85,11.85,11.85,11.85,000,11.85
2011-10-28,12.13,12.13,12.13,12.13,000,12.13
2011-10-27,12.19,12.19,12.19,12.19,000,12.19
2011-10-26,11.76,11.76,11.76,11.76,000,11.76
2011-10-25,11.57,11.57,11.57,11.57,000,11.57
2011-10-24,11.82,11.82,11.82,11.82,000,11.82
2011-10-21,11.60,11.60,11.60,11.60,000,11.60
2011-10-20,11.38,11.38,11.38,11.38,000,11.38
2011-10-19,11.32,11.32,11.32,11.32,000,11.32
2011-10-18,11.49,11.49,11.49,11.49,000,11.49
2011-10-17,11.26,11.26,11.26,11.26,000,11.26
2011-10-14,11.53,11.53,11.53,11.53,000,11.53
2011-10-13,11.34,11.34,11.34,11.34,000,11.34
2011-10-12,11.40,11.40,11.40,11.40,000,11.40
2011-10-11,11.27,11.27,11.27,11.27,000,11.27
2011-10-10,11.25,11.25,11.25,11.25,000,11.25
2011-10-07,10.83,10.83,10.83,10.83,000,10.83
2011-10-06,10.93,10.93,10.93,10.93,000,10.93
2011-10-05,10.67,10.67,10.67,10.67,000,10.67
2011-10-04,10.42,10.42,10.42,10.42,000,10.42
