Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,10.45,10.45,10.45,10.45,000,10.45
2012-05-24,10.45,10.45,10.45,10.45,000,10.45
2012-05-23,10.48,10.48,10.48,10.48,000,10.48
2012-05-22,10.44,10.44,10.44,10.44,000,10.44
2012-05-21,10.38,10.38,10.38,10.38,000,10.38
2012-05-18,10.11,10.11,10.11,10.11,000,10.11
2012-05-17,10.21,10.21,10.21,10.21,000,10.21
2012-05-16,10.44,10.44,10.44,10.44,000,10.44
2012-05-15,10.49,10.49,10.49,10.49,000,10.49
2012-05-14,10.52,10.52,10.52,10.52,000,10.52
2012-05-11,10.65,10.65,10.65,10.65,000,10.65
2012-05-10,10.68,10.68,10.68,10.68,000,10.68
2012-05-09,10.66,10.66,10.66,10.66,000,10.66
2012-05-08,10.70,10.70,10.70,10.70,000,10.70
2012-05-07,10.76,10.76,10.76,10.76,000,10.76
2012-05-04,10.80,10.80,10.80,10.80,000,10.80
2012-05-03,11.00,11.00,11.00,11.00,000,11.00
2012-05-02,11.13,11.13,11.13,11.13,000,11.13
2012-05-01,11.13,11.13,11.13,11.13,000,11.13
2012-04-30,11.09,11.09,11.09,11.09,000,11.09
2012-04-27,11.16,11.16,11.16,11.16,000,11.16
2012-04-26,11.08,11.08,11.08,11.08,000,11.08
2012-04-25,11.02,11.02,11.02,11.02,000,11.02
2012-04-24,10.85,10.85,10.85,10.85,000,10.85
2012-04-23,10.93,10.93,10.93,10.93,000,10.93
2012-04-20,11.07,11.07,11.07,11.07,000,11.07
2012-04-19,11.11,11.11,11.11,11.11,000,11.11
2012-04-18,11.17,11.17,11.17,11.17,000,11.17
2012-04-17,11.16,11.16,11.16,11.16,000,11.16
2012-04-16,10.98,10.98,10.98,10.98,000,10.98
2012-04-13,11.05,11.05,11.05,11.05,000,11.05
2012-04-12,11.13,11.13,11.13,11.13,000,11.13
2012-04-11,10.98,10.98,10.98,10.98,000,10.98
2012-04-10,10.90,10.90,10.90,10.90,000,10.90
2012-04-09,11.12,11.12,11.12,11.12,000,11.12
2012-04-05,11.24,11.24,11.24,11.24,000,11.24
2012-04-04,11.19,11.19,11.19,11.19,000,11.19
2012-04-03,11.32,11.32,11.32,11.32,000,11.32
2012-04-02,11.31,11.31,11.31,11.31,000,11.31
