Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,41.86,41.86,41.86,41.86,000,41.86
2012-05-24,41.81,41.81,41.81,41.81,000,41.81
2012-05-23,42.08,42.08,42.08,42.08,000,42.08
2012-05-22,42.54,42.54,42.54,42.54,000,42.54
2012-05-21,42.68,42.68,42.68,42.68,000,42.68
2012-05-18,41.78,41.78,41.78,41.78,000,41.78
2012-05-17,42.28,42.28,42.28,42.28,000,42.28
2012-05-16,42.78,42.78,42.78,42.78,000,42.78
2012-05-15,43.26,43.26,43.26,43.26,000,43.26
2012-05-14,43.80,43.80,43.80,43.80,000,43.80
2012-05-11,44.72,44.72,44.72,44.72,000,44.72
2012-05-10,45.04,45.04,45.04,45.04,000,45.04
2012-05-09,44.93,44.93,44.93,44.93,000,44.93
2012-05-08,45.40,45.40,45.40,45.40,000,45.40
2012-05-07,46.25,46.25,46.25,46.25,000,46.25
2012-05-04,46.02,46.02,46.02,46.02,000,46.02
2012-05-03,46.95,46.95,46.95,46.95,000,46.95
2012-05-02,47.17,47.17,47.17,47.17,000,47.17
2012-05-01,47.35,47.35,47.35,47.35,000,47.35
2012-04-30,47.17,47.17,47.17,47.17,000,47.17
2012-04-27,47.16,47.16,47.16,47.16,000,47.16
2012-04-26,47.05,47.05,47.05,47.05,000,47.05
2012-04-25,46.71,46.71,46.71,46.71,000,46.71
2012-04-24,46.29,46.29,46.29,46.29,000,46.29
2012-04-23,46.01,46.01,46.01,46.01,000,46.01
2012-04-20,46.91,46.91,46.91,46.91,000,46.91
2012-04-19,46.51,46.51,46.51,46.51,000,46.51
2012-04-18,46.76,46.76,46.76,46.76,000,46.76
2012-04-17,46.79,46.79,46.79,46.79,000,46.79
2012-04-16,46.24,46.24,46.24,46.24,000,46.24
2012-04-13,46.00,46.00,46.00,46.00,000,46.00
2012-04-12,46.62,46.62,46.62,46.62,000,46.62
2012-04-11,45.76,45.76,45.76,45.76,000,45.76
2012-04-10,45.34,45.34,45.34,45.34,000,45.34
2012-04-09,46.40,46.40,46.40,46.40,000,46.40
2012-04-05,46.63,46.63,46.63,46.63,000,46.63
2012-04-04,46.58,46.58,46.58,46.58,000,46.58
2012-04-03,47.66,47.66,47.66,47.66,000,47.66
2012-04-02,47.78,47.78,47.78,47.78,000,47.78
2012-03-30,47.15,47.15,47.15,47.15,000,47.15
2012-03-29,46.72,46.72,46.72,46.72,000,46.72
2012-03-28,46.96,46.96,46.96,46.96,000,46.96
2012-03-27,47.43,47.43,47.43,47.43,000,47.43
2012-03-26,47.54,47.54,47.54,47.54,000,47.54
2012-03-23,46.78,46.78,46.78,46.78,000,46.78
2012-03-22,46.40,46.40,46.40,46.40,000,46.40
2012-03-21,46.90,46.90,46.90,46.90,000,46.90
2012-03-20,46.85,46.85,46.85,46.85,000,46.85
2012-03-19,47.57,47.57,47.57,47.57,000,47.57
2012-03-16,47.43,47.43,47.43,47.43,000,47.43
2012-03-15,47.23,47.23,47.23,47.23,000,47.23
2012-03-14,46.91,46.91,46.91,46.91,000,46.91
2012-03-13,47.25,47.25,47.25,47.25,000,47.25
2012-03-12,46.47,46.47,46.47,46.47,000,46.47
2012-03-09,46.64,46.64,46.64,46.64,000,46.64
2012-03-08,46.69,46.69,46.69,46.69,000,46.69
2012-03-07,45.64,45.64,45.64,45.64,000,45.64
2012-03-06,45.22,45.22,45.22,45.22,000,45.22
2012-03-05,46.69,46.69,46.69,46.69,000,46.69
2012-03-02,47.21,47.21,47.21,47.21,000,47.21
2012-03-01,47.38,47.38,47.38,47.38,000,47.38
2012-02-29,47.04,47.04,47.04,47.04,000,47.04
2012-02-28,47.16,47.16,47.16,47.16,000,47.16
2012-02-27,46.61,46.61,46.61,46.61,000,46.61
2012-02-24,46.95,46.95,46.95,46.95,000,46.95
2012-02-23,46.68,46.68,46.68,46.68,000,46.68
2012-02-22,46.68,46.68,46.68,46.68,000,46.68
2012-02-21,46.81,46.81,46.81,46.81,000,46.81
