Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,4.80,4.80,4.80,4.80,000,4.80
2012-05-24,4.80,4.80,4.80,4.80,000,4.80
2012-05-23,4.77,4.77,4.77,4.77,000,4.77
2012-05-22,4.79,4.79,4.79,4.79,000,4.79
2012-05-21,4.78,4.78,4.78,4.78,000,4.78
2012-05-18,4.77,4.77,4.77,4.77,000,4.77
2012-05-17,4.78,4.78,4.78,4.78,000,4.78
2012-05-16,4.80,4.80,4.80,4.80,000,4.80
2012-05-15,4.81,4.81,4.81,4.81,000,4.81
2012-05-14,4.83,4.83,4.83,4.83,000,4.83
2012-05-11,4.86,4.86,4.86,4.86,000,4.86
2012-05-10,4.86,4.86,4.86,4.86,000,4.86
2012-05-09,4.83,4.83,4.83,4.83,000,4.83
2012-05-08,4.87,4.87,4.87,4.87,000,4.87
2012-05-07,4.88,4.88,4.88,4.88,000,4.88
2012-05-04,4.87,4.87,4.87,4.87,000,4.87
2012-05-03,4.90,4.90,4.90,4.90,000,4.90
2012-05-02,4.90,4.90,4.90,4.90,000,4.90
2012-05-01,4.91,4.91,4.91,4.91,000,4.91
2012-04-30,4.89,4.89,4.89,4.89,000,4.89
2012-04-27,4.89,4.89,4.89,4.89,000,4.89
2012-04-26,4.89,4.89,4.89,4.89,000,4.88
2012-04-25,4.86,4.86,4.86,4.86,000,4.86
2012-04-24,4.85,4.85,4.85,4.85,000,4.85
2012-04-23,4.82,4.82,4.82,4.82,000,4.82
2012-04-20,4.86,4.86,4.86,4.86,000,4.86
2012-04-19,4.82,4.82,4.82,4.82,000,4.82
2012-04-18,4.83,4.83,4.83,4.83,000,4.83
2012-04-17,4.84,4.84,4.84,4.84,000,4.84
2012-04-16,4.79,4.79,4.79,4.79,000,4.79
2012-04-13,4.76,4.76,4.76,4.76,000,4.76
2012-04-12,4.80,4.80,4.80,4.80,000,4.80
2012-04-11,4.78,4.78,4.78,4.78,000,4.78
2012-04-10,4.75,4.75,4.75,4.75,000,4.75
2012-04-09,4.81,4.81,4.81,4.81,000,4.81
2012-04-05,4.83,4.83,4.83,4.83,000,4.83
2012-04-04,4.85,4.85,4.85,4.85,000,4.85
2012-04-03,4.87,4.87,4.87,4.87,000,4.87
2012-04-02,4.90,4.90,4.90,4.90,000,4.89
2012-03-30,4.85,4.85,4.85,4.85,000,4.85
2012-03-29,4.83,4.83,4.83,4.83,000,4.83
2012-03-28,4.85,4.85,4.85,4.85,000,4.83
