Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,19.85,19.85,19.85,19.85,000,19.85
2012-05-24,19.85,19.85,19.85,19.85,000,19.85
2012-05-23,19.77,19.77,19.77,19.77,000,19.77
2012-05-22,19.66,19.66,19.66,19.66,000,19.66
2012-05-21,19.75,19.75,19.75,19.75,000,19.75
2012-05-18,19.35,19.35,19.35,19.35,000,19.35
2012-05-17,19.52,19.52,19.52,19.52,000,19.52
2012-05-16,19.96,19.96,19.96,19.96,000,19.96
2012-05-15,20.12,20.12,20.12,20.12,000,20.12
2012-05-14,20.17,20.17,20.17,20.17,000,20.17
2012-05-11,20.43,20.43,20.43,20.43,000,20.43
2012-05-10,20.51,20.51,20.51,20.51,000,20.51
2012-05-09,20.41,20.41,20.41,20.41,000,20.41
2012-05-08,20.51,20.51,20.51,20.51,000,20.51
2012-05-07,20.53,20.53,20.53,20.53,000,20.53
2012-05-04,20.43,20.43,20.43,20.43,000,20.43
2012-05-03,20.85,20.85,20.85,20.85,000,20.85
2012-05-02,21.07,21.07,21.07,21.07,000,21.07
2012-05-01,20.96,20.96,20.96,20.96,000,20.96
2012-04-30,20.91,20.91,20.91,20.91,000,20.91
2012-04-27,21.10,21.10,21.10,21.10,000,21.10
2012-04-26,20.96,20.96,20.96,20.96,000,20.96
2012-04-25,20.86,20.86,20.86,20.86,000,20.86
2012-04-24,20.57,20.57,20.57,20.57,000,20.57
2012-04-23,20.47,20.47,20.47,20.47,000,20.47
2012-04-20,20.76,20.76,20.76,20.76,000,20.76
2012-04-19,20.67,20.67,20.67,20.67,000,20.67
2012-04-18,20.74,20.74,20.74,20.74,000,20.74
2012-04-17,20.94,20.94,20.94,20.94,000,20.94
2012-04-16,20.61,20.61,20.61,20.61,000,20.61
2012-04-13,20.53,20.53,20.53,20.53,000,20.53
2012-04-12,20.85,20.85,20.85,20.85,000,20.85
2012-04-11,20.49,20.49,20.49,20.49,000,20.49
2012-04-10,20.21,20.21,20.21,20.21,000,20.21
2012-04-09,20.71,20.71,20.71,20.71,000,20.71
2012-04-05,21.05,21.05,21.05,21.05,000,21.05
2012-04-04,21.12,21.12,21.12,21.12,000,21.12
2012-04-03,21.46,21.46,21.46,21.46,000,21.46
2012-04-02,21.58,21.58,21.58,21.58,000,21.58
2012-03-30,21.33,21.33,21.33,21.33,000,21.33
2012-03-29,21.42,21.42,21.42,21.42,000,21.42
2012-03-28,21.45,21.45,21.45,21.45,000,21.45
2012-03-27,21.54,21.54,21.54,21.54,000,21.54
2012-03-26,21.67,21.67,21.67,21.67,000,21.67
2012-03-23,21.33,21.33,21.33,21.33,000,21.33
2012-03-22,21.17,21.17,21.17,21.17,000,21.17
